year,block,equation,description,value
2024,1,1,Agriculture (p_a),1.000879
2025,1,1,Agriculture (p_a),1.040396
2026,1,1,Agriculture (p_a),1.036174
2027,1,1,Agriculture (p_a),1.047091
2028,1,1,Agriculture (p_a),1.039209
2029,1,1,Agriculture (p_a),1.060155
2030,1,1,Agriculture (p_a),1.054533
2031,1,1,Agriculture (p_a),1.075063
2032,1,1,Agriculture (p_a),1.09542
2024,1,2,Mining (p_mi),1.009833
2025,1,2,Mining (p_mi),1.031612
2026,1,2,Mining (p_mi),1.041602
2027,1,2,Mining (p_mi),0.905
2028,1,2,Mining (p_mi),0.935
2029,1,2,Mining (p_mi),0.935
2030,1,2,Mining (p_mi),0.935
2031,1,2,Mining (p_mi),0.905
2032,1,2,Mining (p_mi),0.901
2024,1,3,Manufacturing (p_m),1.003147
2025,1,3,Manufacturing (p_m),1.033837
2026,1,3,Manufacturing (p_m),1.042326
2027,1,3,Manufacturing (p_m),1.055848
2028,1,3,Manufacturing (p_m),1.009
2029,1,3,Manufacturing (p_m),1.009
2030,1,3,Manufacturing (p_m),1.009
2031,1,3,Manufacturing (p_m),0.91
2032,1,3,Manufacturing (p_m),0.907
2024,1,4,Energy and Water (p_e),1.004254
2025,1,4,Energy and Water (p_e),1.020014
2026,1,4,Energy and Water (p_e),1.035124
2027,1,4,Energy and Water (p_e),1.053312
2028,1,4,Energy and Water (p_e),1.052226
2029,1,4,Energy and Water (p_e),1.085796
2030,1,4,Energy and Water (p_e),1.02
2031,1,4,Energy and Water (p_e),1.076408
2032,1,4,Energy and Water (p_e),1
2024,1,5,Construction (p_c),1
2025,1,5,Construction (p_c),1.06
2026,1,5,Construction (p_c),1.06
2027,1,5,Construction (p_c),1.07
2028,1,5,Construction (p_c),1.045
2029,1,5,Construction (p_c),1.021
2030,1,5,Construction (p_c),1.035
2031,1,5,Construction (p_c),1.045
2032,1,5,Construction (p_c),1.055
2024,1,6,Transport (p_t),1.004766
2025,1,6,Transport (p_t),1.025735
2026,1,6,Transport (p_t),1.049202
2027,1,6,Transport (p_t),1.088025
2028,1,6,Transport (p_t),1.094247
2029,1,6,Transport (p_t),1.146252
2030,1,6,Transport (p_t),1.088428
2031,1,6,Transport (p_t),1.1057
2032,1,6,Transport (p_t),1.12234
2024,1,7,Trade (p_tr),1.000093
2025,1,7,Trade (p_tr),1.010111
2026,1,7,Trade (p_tr),1.020294
2027,1,7,Trade (p_tr),1.045241
2028,1,7,Trade (p_tr),1.054977
2029,1,7,Trade (p_tr),1.049495
2030,1,7,Trade (p_tr),1.059468
2031,1,7,Trade (p_tr),1.069699
2032,1,7,Trade (p_tr),1.080588
2024,1,8,Financial services (p_fs),1.000483
2025,1,8,Financial services (p_fs),1.07119
2026,1,8,Financial services (p_fs),1.067118
2027,1,8,Financial services (p_fs),1.091531
2028,1,8,Financial services (p_fs),1.109512
2029,1,8,Financial services (p_fs),1.131571
2030,1,8,Financial services (p_fs),1.151267
2031,1,8,Financial services (p_fs),1.199551
2032,1,8,Financial services (p_fs),1.20014
2024,1,9,Public Services (p_ps),1.000129
2025,1,9,Public Services (p_ps),1.010253
2026,1,9,Public Services (p_ps),1.040199
2027,1,9,Public Services (p_ps),1.030356
2028,1,9,Public Services (p_ps),1.040031
2029,1,9,Public Services (p_ps),1.05068
2030,1,9,Public Services (p_ps),1.060781
2031,1,9,Public Services (p_ps),1.07104
2032,1,9,Public Services (p_ps),1.091057
2024,1,10,Market Services (p_ms),1.000181
2025,1,10,Market Services (p_ms),1.010285
2026,1,10,Market Services (p_ms),1.002134
2027,1,10,Market Services (p_ms),1.030502
2028,1,10,Market Services (p_ms),1.030043
2029,1,10,Market Services (p_ms),1.040947
2030,1,10,Market Services (p_ms),1.036071
2031,1,10,Market Services (p_ms),1.046373
2032,1,10,Market Services (p_ms),1.061275
2024,Source: pva_grp,11,Agriculture (pva_a),0.9958141
2025,Source: pva_grp,11,Agriculture (pva_a),1.070785
2026,Source: pva_grp,11,Agriculture (pva_a),1.06048
2027,Source: pva_grp,11,Agriculture (pva_a),1.080147
2028,Source: pva_grp,11,Agriculture (pva_a),1.013892
2029,Source: pva_grp,11,Agriculture (pva_a),0.9705722
2030,Source: pva_grp,11,Agriculture (pva_a),0.939447
2031,Source: pva_grp,11,Agriculture (pva_a),0.8989173
2032,Source: pva_grp,11,Agriculture (pva_a),0.9359334
2024,Source: pva_grp,12,Mining (pva_mi),1.020986
2025,Source: pva_grp,12,Mining (pva_mi),1.224783
2026,Source: pva_grp,12,Mining (pva_mi),1.251685
2027,Source: pva_grp,12,Mining (pva_mi),1.285737
2028,Source: pva_grp,12,Mining (pva_mi),0.9245005
2029,Source: pva_grp,12,Mining (pva_mi),0.918577
2030,Source: pva_grp,12,Mining (pva_mi),0.8939355
2031,Source: pva_grp,12,Mining (pva_mi),0.8895337
2032,Source: pva_grp,12,Mining (pva_mi),0.8938999
2024,Source: pva_grp,13,Manufacturing (pva_m),0.9954861
2025,Source: pva_grp,13,Manufacturing (pva_m),0.9831472
2026,Source: pva_grp,13,Manufacturing (pva_m),1.049954
2027,Source: pva_grp,13,Manufacturing (pva_m),0.9841733
2028,Source: pva_grp,13,Manufacturing (pva_m),1.053318
2029,Source: pva_grp,13,Manufacturing (pva_m),1.050349
2030,Source: pva_grp,13,Manufacturing (pva_m),1.093903
2031,Source: pva_grp,13,Manufacturing (pva_m),1.074273
2032,Source: pva_grp,13,Manufacturing (pva_m),1.073668
2024,Source: pva_grp,14,Energy and Water (pva_e),1.005361
2025,Source: pva_grp,14,Energy and Water (pva_e),1.03293
2026,Source: pva_grp,14,Energy and Water (pva_e),0.8565347
2027,Source: pva_grp,14,Energy and Water (pva_e),0.8391973
2028,Source: pva_grp,14,Energy and Water (pva_e),0.6327221
2029,Source: pva_grp,14,Energy and Water (pva_e),0.6008687
2030,Source: pva_grp,14,Energy and Water (pva_e),0.5893384
2031,Source: pva_grp,14,Energy and Water (pva_e),0.5732561
2032,Source: pva_grp,14,Energy and Water (pva_e),0.6060239
2024,Source: pva_grp,15,Construction (pva_c),0.9369689
2025,Source: pva_grp,15,Construction (pva_c),1.068781
2026,Source: pva_grp,15,Construction (pva_c),1.147408
2027,Source: pva_grp,15,Construction (pva_c),1.190035
2028,Source: pva_grp,15,Construction (pva_c),1.191113
2029,Source: pva_grp,15,Construction (pva_c),1.180669
2030,Source: pva_grp,15,Construction (pva_c),1.21292
2031,Source: pva_grp,15,Construction (pva_c),1.254364
2032,Source: pva_grp,15,Construction (pva_c),1.285813
2024,Source: pva_grp,16,Transport (pva_t),1.001906
2025,Source: pva_grp,16,Transport (pva_t),1.074133
2026,Source: pva_grp,16,Transport (pva_t),1.137099
2027,Source: pva_grp,16,Transport (pva_t),1.404508
2028,Source: pva_grp,16,Transport (pva_t),1.405637
2029,Source: pva_grp,16,Transport (pva_t),1.418685
2030,Source: pva_grp,16,Transport (pva_t),1.402125
2031,Source: pva_grp,16,Transport (pva_t),1.531533
2032,Source: pva_grp,16,Transport (pva_t),1.618333
2024,Source: pva_grp,17,Trade (pva_tr),0.9921399
2025,Source: pva_grp,17,Trade (pva_tr),0.9773986
2026,Source: pva_grp,17,Trade (pva_tr),0.9218877
2027,Source: pva_grp,17,Trade (pva_tr),0.9924737
2028,Source: pva_grp,17,Trade (pva_tr),0.8944123
