year,indicator,unit,value,yoy_pct
2025,Маљмўи мањсулоти дохилӣ,,176.919,
2026,Маљмўи мањсулоти дохилӣ,,199.89814276237882,
2027,Маљмўи мањсулоти дохилӣ,,225.45716600975064,
2028,Маљмўи мањсулоти дохилӣ,,254.61199914551764,
2029,Маљмўи мањсулоти дохилӣ,,290.95713820040174,
2025,Маљмўи мањсулоти саноатї,,66.7261,
2026,Маљмўи мањсулоти саноатї,,83.491032625,
2027,Маљмўи мањсулоти саноатї,,104.88560973515627,
2028,Маљмўи мањсулоти саноатї,,131.60553347201648,
2029,Маљмўи мањсулоти саноатї,,164.80316089586609,
2025,Маљмўи мањсулоти кишоварзї,,84.6538,
2026,Маљмўи мањсулоти кишоварзї,,95.15544982239592,
2027,Маљмўи мањсулоти кишоварзї,,104.59096592645653,
2028,Маљмўи мањсулоти кишоварзї,,114.71595317271228,
2029,Маљмўи мањсулоти кишоварзї,,125.4346797080495,
2025,Маблаѓгузорї ба сармояи асосї,,28.736,
2026,Маблаѓгузорї ба сармояи асосї,,32.767971999999986,
2027,Маблаѓгузорї ба сармояи асосї,,38.92392156000001,
2028,Маблаѓгузорї ба сармояи асосї,,44.52443081040002,
2029,Маблаѓгузорї ба сармояи асосї,,51.375483912360004,
2025,Гардиши савдои дохилї,,77.3071,
2026,Гардиши савдои дохилї,,89.9465411776699,
2027,Гардиши савдои дохилї,,105.31977392904399,
2028,Гардиши савдои дохилї,,120.05447057104276,
2029,Гардиши савдои дохилї,,138.35842123583407,
2025,Хизматрасонии пулакї,,30.470200000000002,
2026,Хизматрасонии пулакї,,35.43975516519846,
2027,Хизматрасонии пулакї,,41.25448471536223,
2028,Хизматрасонии пулакї,,47.612182093920495,
2029,Хизматрасонии пулакї,,51.54863520833778,
2025,аз он: - ба ањолї,,22.1485,
2026,аз он: - ба ањолї,,25.86843442715216,
2027,аз он: - ба ањолї,,29.67948540673542,
2028,аз он: - ба ањолї,,33.52970569994401,
2029,аз он: - ба ањолї,,37.0853490707466,
2025,Гардиши савдои хориљї (млн. доллар),,10793.1,
2026,Гардиши савдои хориљї (млн. доллар),,11021.795039843477,
2027,Гардиши савдои хориљї (млн. доллар),,11200.599971220476,
2028,Гардиши савдои хориљї (млн. доллар),,11336.583686236969,
2029,Гардиши савдои хориљї (млн. доллар),,11664.551983752193,
2025,аз он: - содирот,,2487.9,
2026,аз он: - содирот,,2672.7851308695854,
2027,аз он: - содирот,,2840.4586402822806,
2028,аз он: - содирот,,2973.46682215844,
2029,аз он: - содирот,,3140.639557806061,
2025,-воридот,,8305.2,
2026,-воридот,,8349.00990897389,
2027,-воридот,,8360.141330938195,
2028,-воридот,,8363.116864078529,
2029,-воридот,,8523.912425946131,
2025,Индекс-дефлятори ММД,,-,
2026,Индекс-дефлятори ММД,,-,
2027,Индекс-дефлятори ММД,,-,
2028,Индекс-дефлятори ММД,,-,
2029,Индекс-дефлятори ММД,,-,
2025,Сатњи таваррум*,,-,
2026,Сатњи таваррум*,,-,
2027,Сатњи таваррум*,,-,
2028,Сатњи таваррум*,,-,
2029,Сатњи таваррум*,,-,
2025,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,10.0409,
2026,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,9.176678,
2027,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,9.414024,
2028,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,9.692052,
2029,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,9.882669,
2025,Ќурби миёнасолона (1 $ нисбат ба сомонї)* маълумоти Бонки миллии Тоҷикистон,,10.0409,
2025,ММД долл.,,17.61983487535978,
2026,ММД долл.,,21.783279609721383,
2027,ММД долл.,,23.949074913103114,
2028,ММД долл.,,26.270185007830914,
2029,ММД долл.,,29.44114977445888,
