year,block,equation,description,value
2024,,Labor Income (ld_hh),,23680.68
2025,,Labor Income (ld_hh),,25401.47
2026,,Labor Income (ld_hh),,27317.93
2027,,Labor Income (ld_hh),,30652.71
2028,,Labor Income (ld_hh),,32391.55
2029,,Labor Income (ld_hh),,35240.68
2030,,Labor Income (ld_hh),,38140.19
2031,,Labor Income (ld_hh),,41212.87
2032,,Labor Income (ld_hh),,44698.88
2022,,Labor Income (ld_hh),,178198.9
2023,,Labor Income (ld_hh),,181254.7
2024,,Labor Income (ld_hh),,184455.1
2025,,Labor Income (ld_hh),,190405.9
2026,,Labor Income (ld_hh),,188270.8
2027,,Labor Income (ld_hh),,197807.9
2028,,Labor Income (ld_hh),,210908.4
2029,,Labor Income (ld_hh),,217576.1
2030,,Labor Income (ld_hh),,225813.1
2022,,Доход домохозяйств,,75206.33
2023,,Доход домохозяйств,,77968.46
2024,,Доход домохозяйств,,82697.53
2025,,Доход домохозяйств,,88077.81
2026,,Доход домохозяйств,,105031.3
2027,,Доход домохозяйств,,105712.3
2028,,Доход домохозяйств,,105665.1
2029,,Доход домохозяйств,,114942.5
2030,,Доход домохозяйств,,120227.9
2022,,Households Income,,-52160.38397598655
2023,,Households Income,,-52505.95967074277
2024,,Households Income,,-53379.3745542376
2025,,Households Income,,-54582.93330284121
2026,,Households Income,,-56534.52493687543
2027,,Households Income,,-57766.38810740733
2028,,Households Income,,-58487.93403952676
2029,,Households Income,,-60478.71802548079
2030,,Households Income,,-61602.98457467544
2022,,Source: yh_1,,15708.052297690112
2023,,Source: yh_1,,17506.423548080118
2024,,Source: yh_1,,19566.12979922511
2025,,Source: yh_1,,22519.253750002896
2026,,Source: yh_1,,24521.2385918506
2027,,Source: yh_1,,26472.6169832053
2028,,Source: yh_1,,28444.478623736497
2029,,Source: yh_1,,31427.918224772
2030,,Source: yh_1,,33548.7775255795
2024,,1,Households Income (yh),178198.9
2025,,1,Households Income (yh),181254.7
2026,,1,Households Income (yh),184455.1
2027,,1,Households Income (yh),190405.9
2028,,1,Households Income (yh),188270.8
2029,,1,Households Income (yh),197807.9
2030,,1,Households Income (yh),210908.4
2031,,1,Households Income (yh),217576.1
2032,,1,Households Income (yh),225813.1
2024,Source: ydh_1,Households Income (ydh),,165220
2025,Source: ydh_1,Households Income (ydh),,168053.2
2026,Source: ydh_1,Households Income (ydh),,171020.6
2027,Source: ydh_1,Households Income (ydh),,176537.9
2028,Source: ydh_1,Households Income (ydh),,174558.3
2029,Source: ydh_1,Households Income (ydh),,183400.8
2030,Source: ydh_1,Households Income (ydh),,195547.1
2031,Source: ydh_1,Households Income (ydh),,201729.2
2032,Source: ydh_1,Households Income (ydh),,209366.3
2024,Source: ydh_1,Сбережения домохозяйств,,212972.59999999998
2024,Source: sh_1,Savings of Households (sh),,15568.47
2025,Source: sh_1,Savings of Households (sh),,15835.44
2026,Source: sh_1,Savings of Households (sh),,16115.05
2027,Source: sh_1,Savings of Households (sh),,16634.94
2028,Source: sh_1,Savings of Households (sh),,16448.4
2029,Source: sh_1,Savings of Households (sh),,17281.62
2030,Source: sh_1,Savings of Households (sh),,18426.15
2031,Source: sh_1,Savings of Households (sh),,19008.68
2032,Source: sh_1,Savings of Households (sh),,19728.31
2024,Source: sh_1,Доход фирм,,15565.063387119968
2024,Source: sf_1,Savings of Firms (sf),,30478.01
2025,Source: sf_1,Savings of Firms (sf),,32299.64
2026,Source: sf_1,Savings of Firms (sf),,34204.16
2027,Source: sf_1,Savings of Firms (sf),,36798.7
2028,Source: sf_1,Savings of Firms (sf),,41452.82
2029,Source: sf_1,Savings of Firms (sf),,44682.92
2030,Source: sf_1,Savings of Firms (sf),,47543.05
2031,Source: sf_1,Savings of Firms (sf),,50773.95
2032,Source: sf_1,Savings of Firms (sf),,53106.65
2024,Source: sf_1,Сбережения правительства,,44182.98596928803
2024,Source: sg_1,Savings of Government (sg),,15805.01
2025,Source: sg_1,Savings of Government (sg),,15691.87
2026,Source: sg_1,Savings of Government (sg),,16221.05
2027,Source: sg_1,Savings of Government (sg),,15666.08
2028,Source: sg_1,Savings of Government (sg),,24673.69
2029,Source: sg_1,Savings of Government (sg),,18994.42
2030,Source: sg_1,Savings of Government (sg),,13420.02
2031,Source: sg_1,Savings of Government (sg),,15218.02
2032,Source: sg_1,Savings of Government (sg),,15398.33
2024,Source: sg_1,Доходы правительства,,16354.199999999993
2024,Source: yg_1,Government's revenues (yg),,59317.95
2025,Source: yg_1,Government's revenues (yg),,63914.72
2026,Source: yg_1,Government's revenues (yg),,67197.62
2027,Source: yg_1,Government's revenues (yg),,72636.77
2028,Source: yg_1,Government's revenues (yg),,77828.42
2029,Source: yg_1,Government's revenues (yg),,82925.37
2030,Source: yg_1,Government's revenues (yg),,88058.96
2031,Source: yg_1,Government's revenues (yg),,93957.1799999999
2032,Source: yg_1,Government's revenues (yg),,98974.21
2024,Source: tp_grp,Agriculture (tp_a),,154.3
2025,Source: tp_grp,Agriculture (tp_a),,172.1956
2026,Source: tp_grp,Agriculture (tp_a),,180.0704
