year,block,equation,description,value
2024,,Agriculture (c_a_h),,37782.84
2025,,Agriculture (c_a_h),,39456.02
2026,,Agriculture (c_a_h),,39116.14
2027,,Agriculture (c_a_h),,43366.77
2028,,Agriculture (c_a_h),,45793.73
2029,,Agriculture (c_a_h),,48770.47
2030,,Agriculture (c_a_h),,51415.1
2031,,Agriculture (c_a_h),,52097.89
2032,,Agriculture (c_a_h),,53279.83
2024,,Mining (c_mi_h),,111.72
2025,,Mining (c_mi_h),,117.2033
2026,,Mining (c_mi_h),,115.9396
2027,,Mining (c_mi_h),,128.1679
2028,,Mining (c_mi_h),,132.0827
2029,,Mining (c_mi_h),,141.1981
2030,,Mining (c_mi_h),,146.8844
2031,,Mining (c_mi_h),,149.794
2032,,Mining (c_mi_h),,156.3146
2024,,Manufacturing (c_m_h),,50064.83
2025,,Manufacturing (c_m_h),,52399.95
2026,,Manufacturing (c_m_h),,51203.33
2027,,Manufacturing (c_m_h),,56418.04
2028,,Manufacturing (c_m_h),,57823.66
2029,,Manufacturing (c_m_h),,63083.71
2030,,Manufacturing (c_m_h),,66054.73
2031,,Manufacturing (c_m_h),,66980.14
2032,,Manufacturing (c_m_h),,69093.19
2024,,Energy and Water (c_e_h),,4661.131
2025,,Energy and Water (c_e_h),,5000.151
2026,,Energy and Water (c_e_h),,4912.103
2027,,Energy and Water (c_e_h),,5426.916
2028,,Energy and Water (c_e_h),,5621.184
2029,,Energy and Water (c_e_h),,6037.309
2030,,Energy and Water (c_e_h),,6246.942
2031,,Energy and Water (c_e_h),,6728.726
2032,,Energy and Water (c_e_h),,6823.745
2024,,Construction (c_c_h),,337.5392
2025,,Construction (c_c_h),,345.108
2026,,Construction (c_c_h),,342.6295
2027,,Construction (c_c_h),,378.1667
2028,,Construction (c_c_h),,408.0255
2029,,Construction (c_c_h),,451.8151
2030,,Construction (c_c_h),,468.0029
2031,,Construction (c_c_h),,478.356
2032,,Construction (c_c_h),,493.0955
2024,,Transport (c_t_h),,4623.427
2025,,Transport (c_t_h),,4868.126
2026,,Transport (c_t_h),,4751.822
2027,,Transport (c_t_h),,5161.874
2028,,Transport (c_t_h),,5305.504
2029,,Transport (c_t_h),,5577.231
2030,,Transport (c_t_h),,6104.938
2031,,Transport (c_t_h),,6158.765
2032,,Transport (c_t_h),,6320.834
2024,,Trade (c_tr_h),,7746.785
2025,,Trade (c_tr_h),,8323.986
2026,,Trade (c_tr_h),,8182.948
2027,,Trade (c_tr_h),,8965.73
2028,,Trade (c_tr_h),,9300.56799999999
2029,,Trade (c_tr_h),,10146.73
2030,,Trade (c_tr_h),,10552.03
2031,,Trade (c_tr_h),,10800.97
2032,,Trade (c_tr_h),,11122.77
2024,,Financial services (c_fs_h),,10254.33
2025,,Financial services (c_fs_h),,10538.2
2026,,Financial services (c_fs_h),,10172.85
2027,,Financial services (c_fs_h),,11266.67
2028,,Financial services (c_fs_h),,11530.41
2029,,Financial services (c_fs_h),,12227.4
2030,,Financial services (c_fs_h),,12670.9
2031,,Financial services (c_fs_h),,12563.66
2032,,Financial services (c_fs_h),,13041.08
2024,,Public Services (c_ps_h),,2736.163
2025,,Public Services (c_ps_h),,2933.918
2026,,Public Services (c_ps_h),,2828.948
2027,,Public Services (c_ps_h),,3189.945
2028,,Public Services (c_ps_h),,3292.804
2029,,Public Services (c_ps_h),,3529.662
2030,,Public Services (c_ps_h),,3665.664
2031,,Public Services (c_ps_h),,3741.316
2032,,Public Services (c_ps_h),,3825.612
2024,,Market Services (c_ms_h),,22493.1
2025,,Market Services (c_ms_h),,23726.76
2026,,Market Services (c_ms_h),,22934.63
2027,,Market Services (c_ms_h),,24886.21
2028,,Market Services (c_ms_h),,25346.67
2029,,Market Services (c_ms_h),,27120.36
2030,,Market Services (c_ms_h),,27972.51
2031,,Market Services (c_ms_h),,27987.5
2032,,Market Services (c_ms_h),,28560.44
2024,,138104.4378764098,,140811.8652
2025,,138104.4378764098,,147709.4223
2026,,138104.4378764098,,144561.3401
2027,,138104.4378764098,,159188.4896
2028,,138104.4378764098,,164554.6382
2029,,138104.4378764098,,177085.88520000002
2030,,138104.4378764098,,185297.7013
2031,,138104.4378764098,,187687.117
2032,,138104.4378764098,,192716.91109999997
2024,Source: c_g_grp,Agriculture (c_a_g),,4.63253
2025,Source: c_g_grp,Agriculture (c_a_g),,4.53173
2026,Source: c_g_grp,Agriculture (c_a_g),,4.794315
2027,Source: c_g_grp,Agriculture (c_a_g),,4.984611
2028,Source: c_g_grp,Agriculture (c_a_g),,5.098434
2029,Source: c_g_grp,Agriculture (c_a_g),,5.334358
2030,Source: c_g_grp,Agriculture (c_a_g),,5.447401
2031,Source: c_g_grp,Agriculture (c_a_g),,5.379634
2032,Source: c_g_grp,Agriculture (c_a_g),,5.81362
2024,Source: c_g_grp,Mining (c_mi_g),,0.00198779
2025,Source: c_g_grp,Mining (c_mi_g),,0.00231582
2026,Source: c_g_grp,Mining (c_mi_g),,0.00246594
2027,Source: c_g_grp,Mining (c_mi_g),,0.00282088
2028,Source: c_g_grp,Mining (c_mi_g),,0.00321213
2029,Source: c_g_grp,Mining (c_mi_g),,0.00354572
2030,Source: c_g_grp,Mining (c_mi_g),,0.0038644
2031,Source: c_g_grp,Mining (c_mi_g),,0.00408634
2032,Source: c_g_grp,Mining (c_mi_g),,0.00422242
2024,Source: c_g_grp,Manufacturing (c_m_g),,16.93616
2025,Source: c_g_grp,Manufacturing (c_m_g),,19.97698
2026,Source: c_g_grp,Manufacturing (c_m_g),,24.02716
2027,Source: c_g_grp,Manufacturing (c_m_g),,30.6351
2028,Source: c_g_grp,Manufacturing (c_m_g),,37.37377
2029,Source: c_g_grp,Manufacturing (c_m_g),,54.60988
2030,Source: c_g_grp,Manufacturing (c_m_g),,63.61188
2031,Source: c_g_grp,Manufacturing (c_m_g),,67.32927
2032,Source: c_g_grp,Manufacturing (c_m_g),,69.71959
2024,Source: c_g_grp,Energy and Water (c_e_g),,0.00193978
2025,Source: c_g_grp,Energy and Water (c_e_g),,0.00230684
2026,Source: c_g_grp,Energy and Water (c_e_g),,0.00263496
2027,Source: c_g_grp,Energy and Water (c_e_g),,0.00320092
2028,Source: c_g_grp,Energy and Water (c_e_g),,0.00355265
2029,Source: c_g_grp,Energy and Water (c_e_g),,0.00383331
2030,Source: c_g_grp,Energy and Water (c_e_g),,0.00400369
2031,Source: c_g_grp,Energy and Water (c_e_g),,0.0044096
2032,Source: c_g_grp,Energy and Water (c_e_g),,0.00455974
2024,Source: c_g_grp,Construction (c_c_g),,0.00200758
2025,Source: c_g_grp,Construction (c_c_g),,0.00263265
