year,block,equation,description,value
2024,,Agriculture (cpi_a),,1.049153
2025,,Agriculture (cpi_a),,1.122593
2026,,Agriculture (cpi_a),,1.133316
2027,,Agriculture (cpi_a),,1.102377
2028,,Agriculture (cpi_a),,1.045955
2029,,Agriculture (cpi_a),,1.048622
2030,,Agriculture (cpi_a),,1.023468
2031,,Agriculture (cpi_a),,1.039816
2032,,Agriculture (cpi_a),,1.073907
2024,,Mining (cpi_mi),,1.119678
2025,,Mining (cpi_mi),,1.322435
2026,,Mining (cpi_mi),,1.314598
2027,,Mining (cpi_mi),,1.272576
2028,,Mining (cpi_mi),,1.192673
2029,,Mining (cpi_mi),,1.194113
2030,,Mining (cpi_mi),,1.229455
2031,,Mining (cpi_mi),,1.222554
2032,,Mining (cpi_mi),,1.20034
2024,,Manufacturing (cpi_m),,0.9327325
2025,,Manufacturing (cpi_m),,0.9348737
2026,,Manufacturing (cpi_m),,0.9741618
2027,,Manufacturing (cpi_m),,0.9643719
2028,,Manufacturing (cpi_m),,1.00127
2029,,Manufacturing (cpi_m),,1.002415
2030,,Manufacturing (cpi_m),,1.006946
2031,,Manufacturing (cpi_m),,1.004892
2032,,Manufacturing (cpi_m),,0.9901915
2024,,Energy and Water (cpi_e),,0.8429796
2025,,Energy and Water (cpi_e),,0.9045491
2026,,Energy and Water (cpi_e),,0.9359612
2027,,Energy and Water (cpi_e),,1.137622
2028,,Energy and Water (cpi_e),,1.098005
2029,,Energy and Water (cpi_e),,1.057072
2030,,Energy and Water (cpi_e),,1.059071
2031,,Energy and Water (cpi_e),,1.080633
2032,,Energy and Water (cpi_e),,1.222564
2024,,Construction (cpi_c),,1.089342
2025,,Construction (cpi_c),,1.279573
2026,,Construction (cpi_c),,1.335747
2027,,Construction (cpi_c),,1.32104
2028,,Construction (cpi_c),,1.226792
2029,,Construction (cpi_c),,1.213901
2030,,Construction (cpi_c),,1.276268
2031,,Construction (cpi_c),,1.261033
2032,,Construction (cpi_c),,1.268631
2024,,Transport (cpi_t),,1.068475
2025,,Transport (cpi_t),,1.133725
2026,,Transport (cpi_t),,1.240622
2027,,Transport (cpi_t),,1.483129
2028,,Transport (cpi_t),,1.424108
2029,,Transport (cpi_t),,1.501673
2030,,Transport (cpi_t),,1.507791
2031,,Transport (cpi_t),,1.71484
2032,,Transport (cpi_t),,1.838817
2024,,Trade (cpi_tr),,1.034146
2025,,Trade (cpi_tr),,1.047488
2026,,Trade (cpi_tr),,1.035645
2027,,Trade (cpi_tr),,1.101907
2028,,Trade (cpi_tr),,1.038365
2029,,Trade (cpi_tr),,1.03341
2030,,Trade (cpi_tr),,1.077372
2031,,Trade (cpi_tr),,1.11709
2032,,Trade (cpi_tr),,1.115811
2024,,Financial services (cpi_fs),,1.236232
2025,,Financial services (cpi_fs),,1.346228
2026,,Financial services (cpi_fs),,1.29091
2027,,Financial services (cpi_fs),,1.253063
2028,,Financial services (cpi_fs),,1.254598
2029,,Financial services (cpi_fs),,1.233683
2030,,Financial services (cpi_fs),,1.266712
2031,,Financial services (cpi_fs),,1.297633
2032,,Financial services (cpi_fs),,1.277532
2024,,Public Services (cpi_ps),,1.062317
2025,,Public Services (cpi_ps),,0.9471396
2026,,Public Services (cpi_ps),,1.011402
2027,,Public Services (cpi_ps),,0.9914942
2028,,Public Services (cpi_ps),,1.044387
2029,,Public Services (cpi_ps),,1.06388
2030,,Public Services (cpi_ps),,1.176648
2031,,Public Services (cpi_ps),,1.275019
2032,,Public Services (cpi_ps),,1.429254
2024,,Market Services (cpi_ms),,1.014113
2025,,Market Services (cpi_ms),,1.021109
2026,,Market Services (cpi_ms),,1.256577
2027,,Market Services (cpi_ms),,1.274612
2028,,Market Services (cpi_ms),,1.413028
2029,,Market Services (cpi_ms),,1.39192
2030,,Market Services (cpi_ms),,1.32937
2031,,Market Services (cpi_ms),,1.486949
2032,,Market Services (cpi_ms),,1.543945
2024,,Total (cpi_tot),,1.039082
2025,,Total (cpi_tot),,1.085286
2026,,Total (cpi_tot),,1.128077
2027,,Total (cpi_tot),,1.168917
2028,,Total (cpi_tot),,1.163462
2029,,Total (cpi_tot),,1.164548
2030,,Total (cpi_tot),,1.179926
2031,,Total (cpi_tot),,1.238133
2032,,Total (cpi_tot),,1.284474
2026,,2. Equilibrium on labor market established by wage rate,,3.9289400000000008
2027,,2. Equilibrium on labor market established by wage rate,,4.0021921
2028,,2. Equilibrium on labor market established by wage rate,,3.8391810000000017
2029,,2. Equilibrium on labor market established by wage rate,,3.940689
2030,,2. Equilibrium on labor market established by wage rate,,4.053101
2031,,2. Equilibrium on labor market established by wage rate,,4.400459
2032,,2. Equilibrium on labor market established by wage rate,,4.3609925
2026,,Source: w_1,,103.92894
2027,,Source: w_1,,104.0021921
2028,,Source: w_1,,103.839181
2029,,Source: w_1,,103.940689
2030,,Source: w_1,,104.053101
2031,,Source: w_1,,104.400459
2032,,Source: w_1,,104.3609925
2024,,Wage rate (w),,1.007774
2025,,Wage rate (w),,1.007349
2026,,Wage rate (w),,1.006114
2027,,Wage rate (w),,1.004354
2028,,Wage rate (w),,1.003255
2029,,Wage rate (w),,1.002533
2030,,Wage rate (w),,1.00178
2031,,Wage rate (w),,1.000102
2032,,Wage rate (w),,0.9995325
2024,Source: r_grp,Agriculture (r_a),,1.006719
2025,Source: r_grp,Agriculture (r_a),,1.083318
2026,Source: r_grp,Agriculture (r_a),,1.072873
2027,Source: r_grp,Agriculture (r_a),,1.091697
2028,Source: r_grp,Agriculture (r_a),,1.022583
2029,Source: r_grp,Agriculture (r_a),,0.976798
2030,Source: r_grp,Agriculture (r_a),,0.9449515
2031,Source: r_grp,Agriculture (r_a),,0.903137
2032,Source: r_grp,Agriculture (r_a),,0.9402948
2024,Source: r_grp,Mining (r_mi),,0.9515751
2025,Source: r_grp,Mining (r_mi),,1.170065
2026,Source: r_grp,Mining (r_mi),,1.196191
2027,Source: r_grp,Mining (r_mi),,1.2339
2028,Source: r_grp,Mining (r_mi),,0.8407749
2029,Source: r_grp,Mining (r_mi),,0.8328757
2030,Source: r_grp,Mining (r_mi),,0.8061967
2031,Source: r_grp,Mining (r_mi),,0.7944954
2032,Source: r_grp,Mining (r_mi),,0.7977784
