year,block,equation,description,value
2024,Source: pinv_grp,Agriculture (pinv_a),1.337665,1.337665
2025,Source: pinv_grp,Agriculture (pinv_a),1.337665,1.345474
2026,Source: pinv_grp,Agriculture (pinv_a),1.337665,1.345777
2027,Source: pinv_grp,Agriculture (pinv_a),1.337665,1.3483
2028,Source: pinv_grp,Agriculture (pinv_a),1.337665,1.346625
2029,Source: pinv_grp,Agriculture (pinv_a),1.337665,1.350384
2030,Source: pinv_grp,Agriculture (pinv_a),1.337665,1.349538
2031,Source: pinv_grp,Agriculture (pinv_a),1.337665,1.353535
2032,Source: pinv_grp,Agriculture (pinv_a),1.337665,1.357053
2024,Source: pinv_grp,Mining (pinv_mi),1.225397,1.225397
2025,Source: pinv_grp,Mining (pinv_mi),1.225397,1.228645
2026,Source: pinv_grp,Mining (pinv_mi),1.225397,1.228997
2027,Source: pinv_grp,Mining (pinv_mi),1.225397,1.230463
2028,Source: pinv_grp,Mining (pinv_mi),1.225397,1.232013
2029,Source: pinv_grp,Mining (pinv_mi),1.225397,1.233426
2030,Source: pinv_grp,Mining (pinv_mi),1.225397,1.234309
2031,Source: pinv_grp,Mining (pinv_mi),1.225397,1.235575
2032,Source: pinv_grp,Mining (pinv_mi),1.225397,1.235287
2024,Source: pinv_grp,Manufacturing (pinv_m),1.22811,1.22811
2025,Source: pinv_grp,Manufacturing (pinv_m),1.22811,1.231728
2026,Source: pinv_grp,Manufacturing (pinv_m),1.22811,1.233321
2027,Source: pinv_grp,Manufacturing (pinv_m),1.22811,1.235181
2028,Source: pinv_grp,Manufacturing (pinv_m),1.22811,1.237348
2029,Source: pinv_grp,Manufacturing (pinv_m),1.22811,1.236782
2030,Source: pinv_grp,Manufacturing (pinv_m),1.22811,1.237047
2031,Source: pinv_grp,Manufacturing (pinv_m),1.22811,1.23894
2032,Source: pinv_grp,Manufacturing (pinv_m),1.22811,1.2398
2024,Source: pinv_grp,Energy and Water (pinv_e),1.001183,1.001183
2025,Source: pinv_grp,Energy and Water (pinv_e),1.001183,1.001185
2026,Source: pinv_grp,Energy and Water (pinv_e),1.001183,1.001186
2027,Source: pinv_grp,Energy and Water (pinv_e),1.001183,1.001188
2028,Source: pinv_grp,Energy and Water (pinv_e),1.001183,1.00119
2029,Source: pinv_grp,Energy and Water (pinv_e),1.001183,1.001191
2030,Source: pinv_grp,Energy and Water (pinv_e),1.001183,1.001193
2031,Source: pinv_grp,Energy and Water (pinv_e),1.001183,1.001187
2032,Source: pinv_grp,Energy and Water (pinv_e),1.001183,1.001191
2024,Source: pinv_grp,Construction (pinv_c),1.464234,1.464234
2025,Source: pinv_grp,Construction (pinv_c),1.464234,1.493732
2026,Source: pinv_grp,Construction (pinv_c),1.464234,1.493753
2027,Source: pinv_grp,Construction (pinv_c),1.464234,1.502199
2028,Source: pinv_grp,Construction (pinv_c),1.464234,1.487327
2029,Source: pinv_grp,Construction (pinv_c),1.464234,1.477163
2030,Source: pinv_grp,Construction (pinv_c),1.464234,1.483823
2031,Source: pinv_grp,Construction (pinv_c),1.464234,1.489229
2032,Source: pinv_grp,Construction (pinv_c),1.464234,1.493848
2024,Source: pinv_grp,Transport (pinv_t),1.27014,1.27014
2025,Source: pinv_grp,Transport (pinv_t),1.27014,1.274185
2026,Source: pinv_grp,Transport (pinv_t),1.27014,1.276463
2027,Source: pinv_grp,Transport (pinv_t),1.27014,1.280864
2028,Source: pinv_grp,Transport (pinv_t),1.27014,1.283393
2029,Source: pinv_grp,Transport (pinv_t),1.27014,1.287641
2030,Source: pinv_grp,Transport (pinv_t),1.27014,1.28201
2031,Source: pinv_grp,Transport (pinv_t),1.27014,1.285242
2032,Source: pinv_grp,Transport (pinv_t),1.27014,1.287084
2024,Source: pinv_grp,Trade (pinv_tr),1.450717,1.450717
2025,Source: pinv_grp,Trade (pinv_tr),1.450717,1.455346
2026,Source: pinv_grp,Trade (pinv_tr),1.450717,1.459957
2027,Source: pinv_grp,Trade (pinv_tr),1.450717,1.471265
2028,Source: pinv_grp,Trade (pinv_tr),1.450717,1.475756
2029,Source: pinv_grp,Trade (pinv_tr),1.450717,1.473099
2030,Source: pinv_grp,Trade (pinv_tr),1.450717,1.477565
2031,Source: pinv_grp,Trade (pinv_tr),1.450717,1.482022
2032,Source: pinv_grp,Trade (pinv_tr),1.450717,1.486875
2024,Source: pinv_grp,Financial services (pinv_fs),1.010497,1.010497
2025,Source: pinv_grp,Financial services (pinv_fs),1.010497,1.010585
2026,Source: pinv_grp,Financial services (pinv_fs),1.010497,1.010631
2027,Source: pinv_grp,Financial services (pinv_fs),1.010497,1.010653
2028,Source: pinv_grp,Financial services (pinv_fs),1.010497,1.01069
2029,Source: pinv_grp,Financial services (pinv_fs),1.010497,1.010727
2030,Source: pinv_grp,Financial services (pinv_fs),1.010497,1.010748
2031,Source: pinv_grp,Financial services (pinv_fs),1.010497,1.010815
2032,Source: pinv_grp,Financial services (pinv_fs),1.010497,1.010819
2024,Source: pinv_grp,Public Services (pinv_ps),1.001176,1.001176
2025,Source: pinv_grp,Public Services (pinv_ps),1.001176,1.001178
2026,Source: pinv_grp,Public Services (pinv_ps),1.001176,1.001182
2027,Source: pinv_grp,Public Services (pinv_ps),1.001176,1.001181
2028,Source: pinv_grp,Public Services (pinv_ps),1.001176,1.001183
2029,Source: pinv_grp,Public Services (pinv_ps),1.001176,1.001185
2030,Source: pinv_grp,Public Services (pinv_ps),1.001176,1.001186
2031,Source: pinv_grp,Public Services (pinv_ps),1.001176,1.001188
2032,Source: pinv_grp,Public Services (pinv_ps),1.001176,1.00119
2024,Source: pinv_grp,Market Services (pinv_ms),1.001166,1.001166
2025,Source: pinv_grp,Market Services (pinv_ms),1.001166,1.00117
2026,Source: pinv_grp,Market Services (pinv_ms),1.001166,1.001173
2027,Source: pinv_grp,Market Services (pinv_ms),1.001166,1.001178
2028,Source: pinv_grp,Market Services (pinv_ms),1.001166,1.001182
2029,Source: pinv_grp,Market Services (pinv_ms),1.001166,1.001183
2030,Source: pinv_grp,Market Services (pinv_ms),1.001166,1.001186
2031,Source: pinv_grp,Market Services (pinv_ms),1.001166,1.00119
2032,Source: pinv_grp,Market Services (pinv_ms),1.001166,1.001192
2024,2. Capital Users costs in sector j,Agriculture (u_a),1.164759,1.164759
2025,2. Capital Users costs in sector j,Agriculture (u_a),1.164759,1.171559
2026,2. Capital Users costs in sector j,Agriculture (u_a),1.164759,1.171822
2027,2. Capital Users costs in sector j,Agriculture (u_a),1.164759,1.17402
2028,2. Capital Users costs in sector j,Agriculture (u_a),1.164759,1.172561
2029,2. Capital Users costs in sector j,Agriculture (u_a),1.164759,1.175834
2030,2. Capital Users costs in sector j,Agriculture (u_a),1.164759,1.175097
2031,2. Capital Users costs in sector j,Agriculture (u_a),1.164759,1.178578
2032,2. Capital Users costs in sector j,Agriculture (u_a),1.164759,1.181641
2024,2. Capital Users costs in sector j,Mining (u_mi),0.9693503,0.9693503
2025,2. Capital Users costs in sector j,Mining (u_mi),0.9693503,0.9719199
2026,2. Capital Users costs in sector j,Mining (u_mi),0.9693503,0.9721986
2027,2. Capital Users costs in sector j,Mining (u_mi),0.9693503,0.9733583
2028,2. Capital Users costs in sector j,Mining (u_mi),0.9693503,0.9745843
2029,2. Capital Users costs in sector j,Mining (u_mi),0.9693503,0.9757016
2030,2. Capital Users costs in sector j,Mining (u_mi),0.9693503,0.9764004
2031,2. Capital Users costs in sector j,Mining (u_mi),0.9693503,0.9774023
2032,2. Capital Users costs in sector j,Mining (u_mi),0.9693503,0.9771738
2024,2. Capital Users costs in sector j,Manufacturing (u_m),0.8259001,0.8259001
2025,2. Capital Users costs in sector j,Manufacturing (u_m),0.8259001,0.8797165
2026,2. Capital Users costs in sector j,Manufacturing (u_m),0.8259001,0.9609208
2027,2. Capital Users costs in sector j,Manufacturing (u_m),0.8259001,0.9506305
2028,2. Capital Users costs in sector j,Manufacturing (u_m),0.8259001,1.092556
2029,2. Capital Users costs in sector j,Manufacturing (u_m),0.8259001,1.073182
2030,2. Capital Users costs in sector j,Manufacturing (u_m),0.8259001,1.058141
2031,2. Capital Users costs in sector j,Manufacturing (u_m),0.8259001,1.059761
2032,2. Capital Users costs in sector j,Manufacturing (u_m),0.8259001,1.075801
2024,2. Capital Users costs in sector j,Energy and Water (u_e),0.8450792,0.8450792
2025,2. Capital Users costs in sector j,Energy and Water (u_e),0.8450792,0.8450805
2026,2. Capital Users costs in sector j,Energy and Water (u_e),0.8450792,0.8450816
2027,2. Capital Users costs in sector j,Energy and Water (u_e),0.8450792,0.8450834
2028,2. Capital Users costs in sector j,Energy and Water (u_e),0.8450792,0.8450846
2029,2. Capital Users costs in sector j,Energy and Water (u_e),0.8450792,0.8450857
2030,2. Capital Users costs in sector j,Energy and Water (u_e),0.8450792,0.8450873
