year,var_name,description,value
2024,Agriculture (gdp_va_a),,39515.54
2025,Agriculture (gdp_va_a),,44173.07
2026,Agriculture (gdp_va_a),,45563.21
2027,Agriculture (gdp_va_a),,47554.3
2028,Agriculture (gdp_va_a),,47958.82
2029,Agriculture (gdp_va_a),,51032.08
2030,Agriculture (gdp_va_a),,51313.92
2031,Agriculture (gdp_va_a),,53663.34
2032,Agriculture (gdp_va_a),,57338.93
2024,Agriculture (gdp_va_a),,35915.753245129155
2025,Agriculture (gdp_va_a),,38771.31917098321
2026,Agriculture (gdp_va_a),,44884.82568122416
2027,Agriculture (gdp_va_a),,51040.39137211078
2028,Agriculture (gdp_va_a),,64274.18344700884
2029,Agriculture (gdp_va_a),,67157.09712731898
2030,Agriculture (gdp_va_a),,69302.96833551828
2031,Agriculture (gdp_va_a),,87150.44591601931
2032,Agriculture (gdp_va_a),,87774.05238267881
2024,Mining (gdp_va_mi),,7611.364
2025,Mining (gdp_va_mi),,9516.991
2026,Mining (gdp_va_mi),,10186.73
2027,Mining (gdp_va_mi),,10932.61
2028,Mining (gdp_va_mi),,11557.36
2029,Mining (gdp_va_mi),,12302.22
2030,Mining (gdp_va_mi),,13079.02
2031,Mining (gdp_va_mi),,13961.61
2032,Mining (gdp_va_mi),,14556.14
2024,Mining (gdp_va_mi),,6456.57661474797
2025,Mining (gdp_va_mi),,7267.405581357865
2026,Mining (gdp_va_mi),,10332.600158532001
2027,Mining (gdp_va_mi),,15639.194367323415
2028,Mining (gdp_va_mi),,16012.494864829026
2029,Mining (gdp_va_mi),,20529.95767797714
2030,Mining (gdp_va_mi),,26660.05305041723
2031,Mining (gdp_va_mi),,28033.36657577011
2032,Mining (gdp_va_mi),,38997.934654348435
2024,Manufacturing (gdp_va_m),,26297.31
2025,Manufacturing (gdp_va_m),,27890.52
2026,Manufacturing (gdp_va_m),,30207.69
2027,Manufacturing (gdp_va_m),,32823.68
2028,Manufacturing (gdp_va_m),,36474.15
2029,Manufacturing (gdp_va_m),,38264.97
2030,Manufacturing (gdp_va_m),,40480.27
2031,Manufacturing (gdp_va_m),,41612.4
2032,Manufacturing (gdp_va_m),,42670.86
2024,Manufacturing (gdp_va_m),,20620.313210104505
2025,Manufacturing (gdp_va_m),,23208.038028701667
2026,Manufacturing (gdp_va_m),,27329.804349502112
2027,Manufacturing (gdp_va_m),,27092.557400062862
2028,Manufacturing (gdp_va_m),,33007.04998408256
2029,Manufacturing (gdp_va_m),,37119.087759819275
2030,Manufacturing (gdp_va_m),,45964.24434404091
2031,Manufacturing (gdp_va_m),,53049.581715165536
2032,Manufacturing (gdp_va_m),,68102.22752903114
2024,Energy and Water (gdp_va_e),,6400.015
2025,Energy and Water (gdp_va_e),,7362.468
2026,Energy and Water (gdp_va_e),,8021.058
2027,Energy and Water (gdp_va_e),,10872.89
2028,Energy and Water (gdp_va_e),,11193.65
2029,Energy and Water (gdp_va_e),,11541.74
2030,Energy and Water (gdp_va_e),,12100.41
2031,Energy and Water (gdp_va_e),,13398.23
2032,Energy and Water (gdp_va_e),,15643.79
2024,Energy and Water (gdp_va_e),,5589.724698957318
2025,Energy and Water (gdp_va_e),,6289.5270001336685
2026,Energy and Water (gdp_va_e),,7640.396627577555
2027,Energy and Water (gdp_va_e),,8703.517505225562
2028,Energy and Water (gdp_va_e),,10535.32396489671
2029,Energy and Water (gdp_va_e),,12961.685235133016
2030,Energy and Water (gdp_va_e),,13528.499689096747
2031,Energy and Water (gdp_va_e),,15322.582570646693
2032,Energy and Water (gdp_va_e),,19712.446459986786
2024,Construction (gdp_va_c),,18820.43
2025,Construction (gdp_va_c),,22602.04
