year,indicator,unit,value,yoy_pct
2024,Шумораи ањолї (ба њисоби миёнаи солона),,10382.1,101.95121472199855
2025,Шумораи ањолї (ба њисоби миёнаи солона),,10614.691,102.24030783752806
2026,Шумораи ањолї (ба њисоби миёнаи солона),,10837.599511,102.1
2027,Шумораи ањолї (ба њисоби миёнаи солона),,11076.026700242,102.2
2028,Шумораи ањолї (ба њисоби миёнаи солона),,11330.775314347567,102.3
2024,Маљмўи мањсулоти дохилї,,153402.2,108.4
2025,Маљмўи мањсулоти дохилї,,225457.16600975062,108.37388918991087
2026,Маљмўи мањсулоти дохилї,,254611.99914551765,108.62520475951297
2027,Маљмўи мањсулоти дохилї,,290957.13820040174,108.76495168739831
2028,Маљмўи мањсулоти дохилї,,325987.6153803254,107.88215008830171
2024,Индекс-дефлятори ММД,,,108.2
2025,Индекс-дефлятори ММД,,,104.07121513480601
2026,Индекс-дефлятори ММД,,,103.96429553886924
2027,Индекс-дефлятори ММД,,,105.06575320666383
2028,Индекс-дефлятори ММД,,,103.85382375573234
2024,Таваррум,,,103.6
2025,Таваррум,,,104.0021921
2026,Таваррум,,,103.839181
2027,Таваррум,,,103.940689
2028,Таваррум,,,104.053101
2024,ММД ба њар нафар ањолї,,14775.642692711495,114.89621232753817
2025,ММД ба њар нафар ањолї,,21240.106378014265,143.75081219642345
2026,ММД ба њар нафар ањолї,,23493.394352420044,110.60864731232311
2027,ММД ба њар нафар ањолї,,26269.089636091667,111.81479032801278
2028,ММД ба њар нафар ањолї,,28770.106752319443,109.52076052453516
2024,Њаљми мањсулоти саноатї,,53818.99999999999,120
2025,Њаљми мањсулоти саноатї,,66726.1,122.1
2026,Њаљми мањсулоти саноатї,,83491.032625,125.00000000000001
2027,Њаљми мањсулоти саноатї,,104885.60973515626,124.99999999999999
2028,Њаљми мањсулоти саноатї,,131605.53347201648,125.09999999999998
2024,Њаљми мањсулоти кишоварзї,,73976.6,110.6
2025,Њаљми мањсулоти кишоварзї,,84653.8,109.5
2026,Њаљми мањсулоти кишоварзї,,95155.44982239592,108.92031018370741
2027,Њаљми мањсулоти кишоварзї,,104590.96592645653,108.61254614131397
2028,Њаљми мањсулоти кишоварзї,,114715.95317271228,108.27300711668305
2024,Маблаѓгузорї ба сармояи асосї аз њисоби њамаи манбаъњои маблаѓгузорї,,22543,108.4
2025,Маблаѓгузорї ба сармояи асосї аз њисоби њамаи манбаъњои маблаѓгузорї,,28736,123
2026,Маблаѓгузорї ба сармояи асосї аз њисоби њамаи манбаъњои маблаѓгузорї,,32767.971999999987,114.03108296213804
2027,Маблаѓгузорї ба сармояи асосї аз њисоби њамаи манбаъњои маблаѓгузорї,,38923.92156000001,118.78648321598915
2028,Маблаѓгузорї ба сармояи асосї аз њисоби њамаи манбаъњои маблаѓгузорї,,44524.43081040002,114.38834790006194
2024,аз чумла аз њисоби буљети давлатї,,9830.5,118.5
2025,аз чумла аз њисоби буљети давлатї,,13280.5,130.4
2026,аз чумла аз њисоби буљети давлатї,,14210.134999999995,106.99999999999996
2027,аз чумла аз њисоби буљети давлатї,,15631.148500000003,110.00000000000006
2028,аз чумла аз њисоби буљети давлатї,,16881.640380000008,108.00000000000003
2024,"Сармоягузории хориљї (қарз, грант, мустақим)",,5126.6,190.57992565055764
2025,"Сармоягузории хориљї (қарз, грант, мустақим)",,6925.3,135.08563180275425
2026,"Сармоягузории хориљї (қарз, грант, мустақим)",,7624.7553,110.1
2027,"Сармоягузории хориљї (қарз, грант, мустақим)",,8562.600201899999,112.29999999999998
2028,"Сармоягузории хориљї (қарз, грант, мустақим)",,9598.6748263299,112.1
2024,Њаљми умумии гардиши савдо дар њама соњањо,,65783.8,113.6
2025,Њаљми умумии гардиши савдо дар њама соњањо,,77307.1,113.9
2026,Њаљми умумии гардиши савдо дар њама соњањо,,89946.5411776699,114.15335710871818
2027,Њаљми умумии гардиши савдо дар њама соњањо,,105319.773929044,114.48579696091133
2028,Њаљми умумии гардиши савдо дар њама соњањо,,120054.47057104275,113.55900111382716
2024,аз он: гардиши савдои чакана,,55663,113.5
2025,аз он: гардиши савдои чакана,,65705.6,114.4
2026,аз он: гардиши савдои чакана,,78696.14087778216,114.04140394834157
2027,аз он: гардиши савдои чакана,,91582.41211221217,114.23170325789494
2028,аз он: гардиши савдои чакана,,104395.19180090674,113.33319262525691
2024,Њаљми хизматрасонињои пулакї дар њамаи соњањо,,25722.9,113
2025,Њаљми хизматрасонињои пулакї дар њамаи соњањо,,30470.2,113.2
2026,Њаљми хизматрасонињои пулакї дар њамаи соњањо,,35439.75516519846,114.9303940053814
2027,Њаљми хизматрасонињои пулакї дар њамаи соњањо,,41254.48471536223,113.901530110427
2028,Њаљми хизматрасонињои пулакї дар њамаи соњањо,,47612.18209392049,113.70534406322643
2024,аз он: хизматрасонињои пулакї ба ањолї,,19094.9,109
2025,аз он: хизматрасонињои пулакї ба ањолї,,22148.5,110.9
2026,аз он: хизматрасонињои пулакї ба ањолї,,25868.43442715216,111.2337368956606
2027,аз он: хизматрасонињои пулакї ба ањолї,,29679.48540673542,111.39071618971383
2028,аз он: хизматрасонињои пулакї ба ањолї,,33529.70569994401,111.85412402147747
2024,Гардиши савдои хориљї,,8955,107.51719914994776
2025,Гардиши савдои хориљї,,11200.599971220476,125.07649325762675
2026,Гардиши савдои хориљї,,11336.583686236969,101.21407527602003
2027,Гардиши савдои хориљї,,11664.551983752193,102.89300821651757
2028,Гардиши савдои хориљї,,11979.380979436051,102.69902346976025
2024,аз он: - содирот,,1947.4,79.52466514211042
2025,аз он: - содирот,,2840.4586402822806,145.8590243546411
2026,аз он: - содирот,,2973.46682215844,104.68263047346964
2027,аз он: - содирот,,3140.639557806061,105.6221490148079
2028,аз он: - содирот,,3298.475280108471,105.02559174325208
2024,-воридот,,7007.6,119.17484396523868
2025,-воридот,,8360.141330938195,119.30106357295213
2026,-воридот,,8363.116864078529,100.03559189997569
2027,-воридот,,8523.912425946131,101.92267505621327
2028,-воридот,,8680.90569932758,101.84179829093006
2024,Ќурби миёнасолона *,,-,-
2025,Ќурби миёнасолона *,,-,-
2026,Ќурби миёнасолона *,,-,-
2027,Ќурби миёнасолона *,,-,-
2028,Ќурби миёнасолона *,,-,-
2024,аз он: - содирот молњо ва хизматрасонї,,2108.405,
2025,аз он: - содирот молњо ва хизматрасонї,,2384.183744057467,113.07997012231836
2026,аз он: - содирот молњо ва хизматрасонї,,2646.481657303925,111.00158131269164
2027,аз он: - содирот молњо ва хизматрасонї,,2924.619604967002,110.50972512488248
2028,аз он: - содирот молњо ва хизматрасонї,,3161.112616578311,108.08628278391019
2024,-воридот молњо ва хизматрасонї,,7685.701,
2025,-воридот молњо ва хизматрасонї,,8537.79226827331,111.08670852890725
2026,-воридот молњо ва хизматрасонї,,11770.760507376595,137.86656008388834
2027,-воридот молњо ва хизматрасонї,,12569.07223151048,106.78215926348678
2028,-воридот молњо ва хизматрасонї,,13398.220938241451,106.59673754322382
2024,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,10.7986,
2025,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,9.414024,87.17818976533994
2026,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,9.692052,102.95333855108082
2027,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,9.882669,101.96673521768145
2028,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,10.01421,101.33102707375912
