year,indicator,unit,value,yoy_pct
2022,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,9982.6,101.8
2023,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,10183.4,102.01150001001741
2024,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,10382.1,101.95121472199855
2025,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,10589.742,102
2026,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,10812.126581999999,102.1
2027,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,11049.993366804,102.2
2028,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,11304.14321424049,102.3
2029,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,11564.138508168022,102.3
2030,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,11830.113693855887,102.4
2031,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,12114.036422508429,102.4
2032,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,12404.773296648631,102.4
2022,Маљмўи мањсулоти дохилї,млн. сомонї,118181.70000000001,108.03592118033602
2023,Маљмўи мањсулоти дохилї,млн. сомонї,132781.90000000002,108.31976837361451
2024,Маљмўи мањсулоти дохилї,млн. сомонї,153402.2,108.4
2025,Маљмўи мањсулоти дохилї,млн. сомонї,176919,108.4
2026,Маљмўи мањсулоти дохилї,млн. сомонї,199898.14276237882,108.51599957200115
2027,Маљмўи мањсулоти дохилї,млн. сомонї,225457.16600975062,108.37388918991087
2028,Маљмўи мањсулоти дохилї,млн. сомонї,254611.99914551765,108.62520475951297
2029,Маљмўи мањсулоти дохилї,млн. сомонї,290957.13820040174,108.76495168739831
2030,Маљмўи мањсулоти дохилї,млн. сомонї,325987.6153803254,107.88215008830171
2031,Маљмўи мањсулоти дохилї,млн. сомонї,368330.8543526119,108.53791833540478
2032,Маљмўи мањсулоти дохилї,млн. сомонї,413970.3378483266,108.10939364078631
2022,Индекс-дефлятори ММД,бо фоиз,,108.22627671327531
2023,Индекс-дефлятори ММД,бо фоиз,,103.72439807211711
2024,Индекс-дефлятори ММД,бо фоиз,,108.2
2025,Индекс-дефлятори ММД,бо фоиз,,104.07121513480601
2026,Индекс-дефлятори ММД,бо фоиз,,103.96429553886924
2027,Индекс-дефлятори ММД,бо фоиз,,105.06575320666383
2028,Индекс-дефлятори ММД,бо фоиз,,103.85382375573234
2029,Индекс-дефлятори ММД,бо фоиз,,104.10114621650719
2030,Индекс-дефлятори ММД,бо фоиз,,103.96034017752895
2031,Индекс-дефлятори ММД,бо фоиз,,0
2032,Индекс-дефлятори ММД,бо фоиз,,106.39304732472282
2022,Таваррум,бо фоиз,,106.6
2023,Таваррум,бо фоиз,,103.7
2024,Таваррум,бо фоиз,,103.6
2025,Таваррум,бо фоиз,,103.5
2026,Таваррум,бо фоиз,,103.92894
2027,Таваррум,бо фоиз,,104.0021921
2028,Таваррум,бо фоиз,,103.839181
2029,Таваррум,бо фоиз,,103.940689
2030,Таваррум,бо фоиз,,104.053101
2031,Таваррум,бо фоиз,,104.400459
2032,Таваррум,бо фоиз,,104.3609925
2022,ММД ба њар нафар ањолї,сомонї,11838.769458858413,114.80575503159827
2023,ММД ба њар нафар ањолї,сомонї,13039.053754148912,110.13858998996201
2024,ММД ба њар нафар ањолї,сомонї,14775.642692711495,113.31836628106558
2025,ММД ба њар нафар ањолї,сомонї,16667.37166442245,111.25283005196968
2026,ММД ба њар нафар ањолї,сомонї,18444.87264541241,110.66455477670871
2027,ММД ба њар нафар ањолї,сомонї,20355.41915087877,110.35814419646614
2028,ММД ба њар нафар ањолї,сомонї,22492.82358793437,110.50041967307426
2029,ММД ба њар нафар ањолї,сомонї,25150.303533698618,111.81479032801278
2030,ММД ба њар нафар ањолї,сомонї,27571.755567060172,109.62792369530283
2031,ММД ба њар нафар ањолї,сомонї,30482.495838320552,110.55696386173474
2032,ММД ба њар нафар ањолї,сомонї,33522.06399326737,109.97151995384078
2022,Њаљми мањсулоти саноатї,млн. сомонї,42804.2,115.4
2023,Њаљми мањсулоти саноатї,млн. сомонї,53818.99999999999,120
2024,Њаљми мањсулоти саноатї,млн. сомонї,53818.99999999999,120
2025,Њаљми мањсулоти саноатї,млн. сомонї,66726.1,122.1
2026,Њаљми мањсулоти саноатї,млн. сомонї,83491.032625,125.00000000000001
2027,Њаљми мањсулоти саноатї,млн. сомонї,104885.60973515626,124.99999999999999
2028,Њаљми мањсулоти саноатї,млн. сомонї,131605.53347201648,125.09999999999998
2029,Њаљми мањсулоти саноатї,млн. сомонї,164803.16089586608,125.1
2030,Њаљми мањсулоти саноатї,млн. сомонї,167868.3449500881,119.97633228164399
2031,Њаљми мањсулоти саноатї,млн. сомонї,171881.64341150748,120.03603946404067
2032,Њаљми мањсулоти саноатї,млн. сомонї,172763.326415097,120.08716771193215
2022,Њаљми мањсулоти кишоварзї,млн. сомонї,49272.4,108
2023,Њаљми мањсулоти кишоварзї,млн. сомонї,63028.399999999994,109
2024,Њаљми мањсулоти кишоварзї,млн. сомонї,73981.3,110.6
2025,Њаљми мањсулоти кишоварзї,млн. сомонї,84653.8,109.5
2026,Њаљми мањсулоти кишоварзї,млн. сомонї,95155.44982239592,108.92031018370741
2027,Њаљми мањсулоти кишоварзї,млн. сомонї,104590.96592645653,108.61254614131397
2028,Њаљми мањсулоти кишоварзї,млн. сомонї,114715.95317271228,108.27300711668305
2029,Њаљми мањсулоти кишоварзї,млн. сомонї,125434.6797080495,108.15401629768029
2030,Њаљми мањсулоти кишоварзї,млн. сомонї,136949.66739357862,108.31355856899332
2031,Њаљми мањсулоти кишоварзї,млн. сомонї,148095.66964185712,107.60075440127642
2032,Њаљми мањсулоти кишоварзї,млн. сомонї,159589.1861503251,107.54578121411076
2022,Маблаѓгузорї ба сармояи асосї,млн. сомонї,16279.5,111.4
2023,Маблаѓгузорї ба сармояи асосї,млн. сомонї,19859,121.98777603734759
2024,Маблаѓгузорї ба сармояи асосї,млн. сомонї,22543,108.4
2025,Маблаѓгузорї ба сармояи асосї,млн. сомонї,28736,123
2026,Маблаѓгузорї ба сармояи асосї,млн. сомонї,32767.971999999987,114.03108296213804
2027,Маблаѓгузорї ба сармояи асосї,млн. сомонї,38923.92156000001,118.78648321598915
2028,Маблаѓгузорї ба сармояи асосї,млн. сомонї,44524.43081040002,114.38834790006194
2029,Маблаѓгузорї ба сармояи асосї,млн. сомонї,51375.48391236,115.38717728056776
2030,Маблаѓгузорї ба сармояи асосї,млн. сомонї,55564.06176577921,108.15287279933827
2031,Маблаѓгузорї ба сармояи асосї,млн. сомонї,63254.94883659063,113.84147743415707
2032,Маблаѓгузорї ба сармояи асосї,млн. сомонї,73256.89332081945,115.81211378427845
2022,аз чумла аз њисоби буљети давлатї,млн. сомонї,6736.9,110.3
2023,аз чумла аз њисоби буљети давлатї,млн. сомонї,7922.5,117.5985987620419
2024,аз чумла аз њисоби буљети давлатї,млн. сомонї,9830.5,118.5
2025,аз чумла аз њисоби буљети давлатї,млн. сомонї,15631.148500000003,159.0066476781446
2026,аз чумла аз њисоби буљети давлатї,млн. сомонї,16881.640380000008,108.00000000000003
2027,аз чумла аз њисоби буљети давлатї,млн. сомонї,18063.355206600005,106.99999999999999
2028,аз чумла аз њисоби буљети давлатї,млн. сомонї,18785.889414864007,104
2029,аз чумла аз њисоби буљети давлатї,млн. сомонї,19725.183885607203,104.99999999999999
2030,аз чумла аз њисоби буљети давлатї,млн. сомонї,21697.702274167925,110.00000000000001
2031,аз чумла аз њисоби буљети давлатї,млн. сомонї,1421.0135000000082,6.549142771176227
2032,аз чумла аз њисоби буљети давлатї,млн. сомонї,1181.7148265999967,83.15999999999929
2022,"Сармоягузории хориљї (қарз, грант, мустақим)",млн. доллар,2577,
2023,"Сармоягузории хориљї (қарз, грант, мустақим)",млн. доллар,2690,104.3849437330229
2024,"Сармоягузории хориљї (қарз, грант, мустақим)",млн. доллар,4905.6,182.36431226765802
2025,"Сармоягузории хориљї (қарз, грант, мустақим)",млн. доллар,6925.3,135.08563180275425
2026,"Сармоягузории хориљї (қарз, грант, мустақим)",млн. доллар,7624.7553,110.1
2027,"Сармоягузории хориљї (қарз, грант, мустақим)",млн. доллар,8562.600201899999,112.29999999999998
2028,"Сармоягузории хориљї (қарз, грант, мустақим)",млн. доллар,9598.6748263299,112.1
2029,"Сармоягузории хориљї (қарз, грант, мустақим)",млн. доллар,10769.713155142148,112.20000000000002
2030,"Сармоягузории хориљї (қарз, грант, мустақим)",млн. доллар,12094.387873224632,112.3
2031,"Сармоягузории хориљї (қарз, грант, мустақим)",млн. доллар,13545.71441801159,112.00000000000001
2032,"Сармоягузории хориљї (қарз, грант, мустақим)",млн. доллар,15184.745862590993,112.1
2022,Гардиши савдои дохилӣ,млн. сомонї,47563.4,111.2
2023,Гардиши савдои дохилӣ,млн. сомонї,56124.4,113.4
2024,Гардиши савдои дохилӣ,млн. сомонї,65783.8,113.6
2025,Гардиши савдои дохилӣ,млн. сомонї,77307.1,113.9
2026,Гардиши савдои дохилӣ,млн. сомонї,89946.5411776699,114.15335710871818
2027,Гардиши савдои дохилӣ,млн. сомонї,105319.773929044,114.48579696091133
2028,Гардиши савдои дохилӣ,млн. сомонї,120054.47057104275,113.55900111382716
2029,Гардиши савдои дохилӣ,млн. сомонї,138358.42123583407,113.89538379213461
2030,Гардиши савдои дохилӣ,млн. сомонї,149157.7179315917,108.35112163981705
2031,Гардиши савдои дохилӣ,млн. сомонї,160879.0743705131,109.75396208525304
2032,Гардиши савдои дохилӣ,млн. сомонї,174656.34444130448,109.31574730186023
2022,аз он: гардиши савдои чакана,млн. сомонї,39586.2,110.2
2023,аз он: гардиши савдои чакана,млн. сомонї,47540.5,115.4
2024,аз он: гардиши савдои чакана,млн. сомонї,55663,113.5
2025,аз он: гардиши савдои чакана,млн. сомонї,63081.37069925171,107.91690423503523
2026,аз он: гардиши савдои чакана,млн. сомонї,71753.53418993358,107.40848890374897
2027,аз он: гардиши савдои чакана,млн. сомонї,79859.12326110191,105.6402783046928
2028,аз он: гардиши савдои чакана,млн. сомонї,87893.05089050917,104.5759345645304
2029,аз он: гардиши савдои чакана,млн. сомонї,96368.26164423834,104.54414265913911
2030,аз он: гардиши савдои чакана,млн. сомонї,111046.17565110938,109.99728184550624
2031,аз он: гардиши савдои чакана,млн. сомонї,111046.17565110938,109.99728184550624
2032,аз он: гардиши савдои чакана,млн. сомонї,111046.17565110938,109.99728184550624
2022,Хизматрасонии пулакї,млн. сомонї,18696.8,116
2023,Хизматрасонии пулакї,млн. сомонї,21760.3,114.1
2024,Хизматрасонии пулакї,млн. сомонї,25722.9,113
2025,Хизматрасонии пулакї,млн. сомонї,30470.2,113.2
2026,Хизматрасонии пулакї,млн. сомонї,35439.75516519846,114.9303940053814
2027,Хизматрасонии пулакї,млн. сомонї,41254.48471536223,113.901530110427
2028,Хизматрасонии пулакї,млн. сомонї,47612.18209392049,113.70534406322643
2029,Хизматрасонии пулакї,млн. сомонї,51548.63520833778,108.1595839667325
2030,Хизматрасонии пулакї,млн. сомонї,56661.40390494502,109.69894171168636
2031,Хизматрасонии пулакї,млн. сомонї,62425.43938868936,109.62464884840513
2032,Хизматрасонии пулакї,млн. сомонї,64323.56419321699,102.52798712780707
2022,аз он: хизматрасонињои пулакї ба ањолї,млн. сомонї,13866.9,110.9
2023,аз он: хизматрасонињои пулакї ба ањолї,млн. сомонї,16740.8,118.4
2024,аз он: хизматрасонињои пулакї ба ањолї,млн. сомонї,19094.9,109
2025,аз он: хизматрасонињои пулакї ба ањолї,млн. сомонї,20828.754476168015,109.080196681669
2026,аз он: хизматрасонињои пулакї ба ањолї,млн. сомонї,23917.844729977856,120.8746240296865
2027,аз он: хизматрасонињои пулакї ба ањолї,млн. сомонї,26619.707753700633,111.29643182412815
2028,аз он: хизматрасонињои пулакї ба ањолї,млн. сомонї,30111.508175452214,114.25995020347571
2029,аз он: хизматрасонињои пулакї ба ањолї,млн. сомонї,34438.52820601325,105.42106888569668
2030,аз он: хизматрасонињои пулакї ба ањолї,млн. сомонї,38378.64656808803,107.15482542184898
2031,аз он: хизматрасонињои пулакї ба ањолї,млн. сомонї,0,0
2032,аз он: хизматрасонињои пулакї ба ањолї,млн. сомонї,0,0
2022,Гардиши савдои хориљї,млн. доллар,7309.5,114.9
2023,Гардиши савдои хориљї,млн. доллар,8328.900000000001,113.94623435255491
2024,Гардиши савдои хориљї,млн. доллар,8955,107.51719914994776
2025,Гардиши савдои хориљї,млн. доллар,10793.1,120.52461725720538
2026,Гардиши савдои хориљї,млн. доллар,11021.795039843477,102.11890040714415
2027,Гардиши савдои хориљї,млн. доллар,11200.599971220476,101.62228503370481
2028,Гардиши савдои хориљї,млн. доллар,11336.583686236969,101.21407527602003
2029,Гардиши савдои хориљї,млн. доллар,11664.551983752193,102.89300821651757
2030,Гардиши савдои хориљї,млн. доллар,11979.380979436051,102.69902346976025
2031,Гардиши савдои хориљї,млн. доллар,11976.135469630579,99.97290753327702
2032,Гардиши савдои хориљї,млн. доллар,12300.51549417228,102.70855340075495
2022,аз он: - содирот,,2142,99.6
2023,аз он: - содирот,,2448.8,114.3230625583567
2024,аз он: - содирот,,1947.4,79.52466514211042
2025,аз он: - содирот,,2840.4586402822806,145.8590243546411
2026,аз он: - содирот,,2973.46682215844,104.68263047346964
2027,аз он: - содирот,,3140.639557806061,105.6221490148079
2028,аз он: - содирот,,3298.475280108471,105.02559174325208
2029,аз он: - содирот,,3051.740104712983,92.51972034220083
2030,аз он: - содирот,,3206.4143550886356,105.0683952456102
2022,-воридот,,5167.5,122.8
2023,-воридот,,5880.1,113.79003386550556
2024,-воридот,,7007.6,119.17484396523868
2025,-воридот,,8360.141330938195,119.30106357295213
2026,-воридот,,8363.116864078529,100.03559189997569
2027,-воридот,,8523.912425946131,101.92267505621327
2028,-воридот,,8680.90569932758,101.84179829093006
2029,-воридот,,8924.395364917596,102.80488780806449
2030,-воридот,,9094.101139083643,101.90159408258816
2022,аз он: - содирот молњо ва хизматрасонї,,1752.9,
2023,аз он: - содирот молњо ва хизматрасонї,,2105,120.08671344628901
2024,аз он: - содирот молњо ва хизматрасонї,,2108.405,100.16175771971498
2025,аз он: - содирот молњо ва хизматрасонї,,2384.183744057467,113.07997012231836
2026,аз он: - содирот молњо ва хизматрасонї,,2646.481657303925,111.00158131269164
2027,аз он: - содирот молњо ва хизматрасонї,,2924.619604967002,110.50972512488248
2028,аз он: - содирот молњо ва хизматрасонї,,3161.112616578311,108.08628278391019
2022,-воридот молњо ва хизматрасонї,,5260.924,
2023,-воридот молњо ва хизматрасонї,,5931.481,112.7459929092304
2024,-воридот молњо ва хизматрасонї,,7685.701,129.5747385855236
2025,-воридот молњо ва хизматрасонї,,8537.79226827331,111.08670852890725
2026,-воридот молњо ва хизматрасонї,,11770.760507376595,137.86656008388834
2027,-воридот молњо ва хизматрасонї,,12569.07223151048,106.78215926348678
2028,-воридот молњо ва хизматрасонї,,13398.220938241451,106.59673754322382
2022,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,11.0258,97.49666192114177
2023,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,10.8445,98.35567487166465
2024,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,10.7986,99.57674397159852
2025,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,9.414024,87.17818976533994
2026,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,9.692052,102.95333855108082
2027,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,9.882669,101.96673521768145
2028,Ќурби миёнасолона (1 $ нисбат ба сомонї)*,,10.01421,101.33102707375912
2025,-растанипарварї,,56548.7384,
2026,-растанипарварї,,62992.907782426104,
2025,чорвопарварї,,28105.0616,
2026,чорвопарварї,,32162.54203996982,
