year,var_name,description,value
2005,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,6855.9
2006,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,7246.7
2007,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,7500.4
2008,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,7957.9
2009,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,8793.5
2010,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,9391.4
2011,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,14853.3
2012,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,16477.5
2013,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,16756.6
2014,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,21021.9
2015,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,21577.8
2016,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,22907.67173111347
2017,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,24576
2018,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,45645.8
2019,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,48889.8
2020,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,53235.2
2021,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,56806.7
2022,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,61337.9
2023,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,66907.2
2024,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,73976.6
2025,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,84653.8
2026,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,95155.3649055747
2027,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,104591.33871634123
2028,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,114715.98328108198
2029,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,125434.66879246393
2030,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,136949.66205418564
2031,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,148095.74720289503
2032,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,159589.22939203866
2033,СЕЛЬСКОЕ ХОЗЯЙСТВО,млн. Сомони,172013.1801808544
