year,var_name,description,value
2000,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",922.5555510356077
2001,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",1086.8938608530323
2002,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",1219.5022251945015
2003,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",1555.181761766339
2004,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",2075.86926520583
2005,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",2312.327536417891
2006,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",2830.2510308028136
2007,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",3719.4771241830063
2008,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",5162.3615160349855
2009,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",4982.850241545894
2010,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",5642.178579584381
2011,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",6523.581221797986
2012,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",7592.982971843702
2013,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",8506.192015448554
2014,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",9241.646233966241
2015,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",8269.51090923838
2016,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",6992.483026188166
2017,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",7536.439875083337
2018,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",7765.014424337792
2019,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",8301.046159011972
2020,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",8134
2021,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",8937.8
2022,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",10718.7
2023,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",12244
2024,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",14426.3
2025,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",17619.83487535978
2026,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",21783.279021905986
2027,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",23949.079411319173
2028,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",26270.02101432578
2029,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",29440.961244879978
2030,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",32552.502652132865
2031,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",35765.96707511887
2032,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",39565.086589160564
2033,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",44526.52524821565
2034,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",49428.18191449499
2035,"GDPUS,t","ВВП в рыночных ценах, млн. долларов",55001.557783297685
2000,"CAUS,t",Счет текущих операций,-61.916999999999994
2001,"CAUS,t",Счет текущих операций,-60.900800000000004
2002,"CAUS,t",Счет текущих операций,-16.729499999999888
2003,"CAUS,t",Счет текущих операций,-4.763600000000139
2004,"CAUS,t",Счет текущих операций,-57.04160000000019
2005,"CAUS,t",Счет текущих операций,-18.85979999999978
2006,"CAUS,t",Счет текущих операций,-43.087599999999725
2007,"CAUS,t",Счет текущих операций,-495.06190000000015
2008,"CAUS,t",Счет текущих операций,47.585000000000036
2009,"CAUS,t",Счет текущих операций,-717.4319999999998
2010,"CAUS,t",Счет текущих операций,-581.1599999999996
2011,"CAUS,t",Счет текущих операций,-413.4000000000002
2012,"CAUS,t",Счет текущих операций,-681.3900000000003
2013,"CAUS,t",Счет текущих операций,-884.8599999999996
2014,"CAUS,t",Счет текущих операций,-522.6400000000002
2015,"CAUS,t",Счет текущих операций,-477.10000000000025
2016,"CAUS,t",Счет текущих операций,-290.823
2017,"CAUS,t",Счет текущих операций,158.93000000000018
2018,"CAUS,t",Счет текущих операций,-378.46300000000014
2019,"CAUS,t",Счет текущих операций,-185.3499999999999
2020,"CAUS,t",Счет текущих операций,353.69999999999993
2021,"CAUS,t",Счет текущих операций,734.6999999999999
2022,"CAUS,t",Счет текущих операций,1634.6759999999997
2023,"CAUS,t",Счет текущих операций,583.9190000000001
2024,"CAUS,t",Счет текущих операций,887.0150000000003
2025,"CAUS,t",Счет текущих операций,-2053.7940000000017
2026,"CAUS,t",Счет текущих операций,-1682.4971748632447
2027,"CAUS,t",Счет текущих операций,-1525.242569239756
2028,"CAUS,t",Счет текущих операций,-1381.4543028050555
2029,"CAUS,t",Счет текущих операций,-1433.3302182954585
2030,"CAUS,t",Счет текущих операций,-1590.7074393175906
2031,"CAUS,t",Счет текущих операций,-2347.8303098231286
2032,"CAUS,t",Счет текущих операций,-2788.8813240688114
2033,"CAUS,t",Счет текущих операций,-2415.7551782090354
2034,"CAUS,t",Счет текущих операций,-2289.6952319429865
2035,"CAUS,t",Счет текущих операций,-5088.478567710865
2000,"TBUS,t","Торговое сальдо, в том числе по",-75.9485
2001,"TBUS,t","Торговое сальдо, в том числе по",-121.51
2002,"TBUS,t","Торговое сальдо, в том числе по",-159.64199999999988
2003,"TBUS,t","Торговое сальдо, в том числе по",-152.54000000000013
2004,"TBUS,t","Торговое сальдо, в том числе по",-225.11760000000015
2005,"TBUS,t","Торговое сальдо, в том числе по",-428.0102999999998
2006,"TBUS,t","Торговое сальдо, в том числе по",-781.1495999999997
2007,"TBUS,t","Торговое сальдо, в том числе по",-2001.5152
2008,"TBUS,t","Торговое сальдо, в том числе по",-2398.215
2009,"TBUS,t","Торговое сальдо, в том числе по",-2234.43
2010,"TBUS,t","Торговое сальдо, в том числе по",-2501.8599999999997
2011,"TBUS,t","Торговое сальдо, в том числе по",-2995.36
2012,"TBUS,t","Торговое сальдо, в том числе по",-3674.42
2013,"TBUS,t","Торговое сальдо, в том числе по",-4413.32
2014,"TBUS,t","Торговое сальдо, в том числе по",-2545.7400000000002
2015,"TBUS,t","Торговое сальдо, в том числе по",-2500.2000000000003
2016,"TBUS,t","Торговое сальдо, в том числе по",-2027.41
2017,"TBUS,t","Торговое сальдо, в том числе по",-1638.9399999999998
2018,"TBUS,t","Торговое сальдо, в том числе по",-2103.963
2019,"TBUS,t","Торговое сальдо, в том числе по",-2165.35
2020,"TBUS,t","Торговое сальдо, в том числе по",-1716.4
2021,"TBUS,t","Торговое сальдо, в том числе по",-2097
2022,"TBUS,t","Торговое сальдо, в том числе по",-3508.0240000000003
2023,"TBUS,t","Торговое сальдо, в том числе по",-3826.4809999999998
2024,"TBUS,t","Торговое сальдо, в том числе по",-5289.348
2025,"TBUS,t","Торговое сальдо, в том числе по",-6246.542000000001
2026,"TBUS,t","Торговое сальдо, в том числе по",-6126.810054863245
2027,"TBUS,t","Торговое сальдо, в том числе по",-6236.214222039756
2028,"TBUS,t","Торговое сальдо, в том числе по",-6375.084254773056
2029,"TBUS,t","Торговое сальдо, в том числе по",-6726.57796738154
2030,"TBUS,t","Торговое сальдо, в том числе по",-7201.550053348837
2031,"TBUS,t","Торговое сальдо, в том числе по",-8295.32348069625
2032,"TBUS,t","Торговое сальдо, в том числе по",-9093.22408519432
2033,"TBUS,t","Торговое сальдо, в том числе по",-9098.358505002076
2034,"TBUS,t","Торговое сальдо, в том числе по",-9373.25475834361
2035,"TBUS,t","Торговое сальдо, в том числе по",-12597.051665695526
2000,"TBUSGoods,t","товарам, в т.ч.",-81.54849999999999
2001,"TBUSGoods,t","товарам, в т.ч.",-114.11000000000001
2002,"TBUSGoods,t","товарам, в т.ч.",-123.75319999999988
2003,"TBUSGoods,t","товарам, в т.ч.",-119.53350000000012
2004,"TBUSGoods,t","товарам, в т.ч.",-135.49860000000012
2005,"TBUSGoods,t","товарам, в т.ч.",-322.8332999999998
2006,"TBUSGoods,t","товарам, в т.ч.",-674.5645999999997
2007,"TBUSGoods,t","товарам, в т.ч.",-1558.1292
2008,"TBUSGoods,t","товарам, в т.ч.",-2124.1
2009,"TBUSGoods,t","товарам, в т.ч.",-2122.2
2010,"TBUSGoods,t","товарам, в т.ч.",-2474.66
2011,"TBUSGoods,t","товарам, в т.ч.",-3013.8
2012,"TBUSGoods,t","товарам, в т.ч.",-3581.52
2013,"TBUSGoods,t","товарам, в т.ч.",-3986
2014,"TBUSGoods,t","товарам, в т.ч.",-2335.6400000000003
2015,"TBUSGoods,t","товарам, в т.ч.",-2290.0600000000004
2016,"TBUSGoods,t","товарам, в т.ч.",-1885.1100000000001
2017,"TBUSGoods,t","товарам, в т.ч.",-1516.7599999999998
2018,"TBUSGoods,t","товарам, в т.ч.",-1888.363
2019,"TBUSGoods,t","товарам, в т.ч.",-1919.9
2020,"TBUSGoods,t","товарам, в т.ч.",-1444.9
2021,"TBUSGoods,t","товарам, в т.ч.",-1712.1999999999998
2022,"TBUSGoods,t","товарам, в т.ч.",-2960.1000000000004
2023,"TBUSGoods,t","товарам, в т.ч.",-3321.7
2024,"TBUSGoods,t","товарам, в т.ч.",-4513.347
2025,"TBUSGoods,t","товарам, в т.ч.",-5817.300000000001
2026,"TBUSGoods,t","товарам, в т.ч.",-5676.250831652681
2027,"TBUSGoods,t","товарам, в т.ч.",-5519.626151543029
2028,"TBUSGoods,t","товарам, в т.ч.",-5389.5858293017445
2029,"TBUSGoods,t","товарам, в т.ч.",-5383.239568769557
2030,"TBUSGoods,t","товарам, в т.ч.",-5382.432763448931
2031,"TBUSGoods,t","товарам, в т.ч.",-5872.72914611354
2032,"TBUSGoods,t","товарам, в т.ч.",-5887.629316604973
2033,"TBUSGoods,t","товарам, в т.ч.",-4866.710734724832
2034,"TBUSGoods,t","товарам, в т.ч.",-3789.5871129217935
2035,"TBUSGoods,t","товарам, в т.ч.",-5241.9442518497035
2000,"EXUSGoods,t",экспорт товаров ФОБ,838.9265
2001,"EXUSGoods,t",экспорт товаров ФОБ,651.5707
2002,"EXUSGoods,t",экспорт товаров ФОБ,699.148
2003,"EXUSGoods,t",экспорт товаров ФОБ,906.1981999999999
2004,"EXUSGoods,t",экспорт товаров ФОБ,1096.9347
2005,"EXUSGoods,t",экспорт товаров ФОБ,1108.0926000000002
2006,"EXUSGoods,t",экспорт товаров ФОБ,1455.4108
2007,"EXUSGoods,t",экспорт товаров ФОБ,1556.8763000000001
2008,"EXUSGoods,t",экспорт товаров ФОБ,1504.9
2009,"EXUSGoods,t",экспорт товаров ФОБ,420.4
2010,"EXUSGoods,t",экспорт товаров ФОБ,457.5
2011,"EXUSGoods,t",экспорт товаров ФОБ,591.7
2012,"EXUSGoods,t",экспорт товаров ФОБ,824.14
2013,"EXUSGoods,t",экспорт товаров ФОБ,573.8
2014,"EXUSGoods,t",экспорт товаров ФОБ,526.76
2015,"EXUSGoods,t",экспорт товаров ФОБ,572.3
2016,"EXUSGoods,t",экспорт товаров ФОБ,667.69
2017,"EXUSGoods,t",экспорт товаров ФОБ,872.96
2018,"EXUSGoods,t",экспорт товаров ФОБ,874.037
2019,"EXUSGoods,t",экспорт товаров ФОБ,1001.1
2020,"EXUSGoods,t",экспорт товаров ФОБ,1270.6
2021,"EXUSGoods,t",экспорт товаров ФОБ,2014.5
2022,"EXUSGoods,t",экспорт товаров ФОБ,1615.5
2023,"EXUSGoods,t",экспорт товаров ФОБ,1861.5
2024,"EXUSGoods,t",экспорт товаров ФОБ,1422.92
2025,"EXUSGoods,t",экспорт товаров ФОБ,2487.9
2026,"EXUSGoods,t",экспорт товаров ФОБ,2672.7851308695854
2027,"EXUSGoods,t",экспорт товаров ФОБ,2840.45864028228
2028,"EXUSGoods,t",экспорт товаров ФОБ,2973.46682215844
2029,"EXUSGoods,t",экспорт товаров ФОБ,3140.6395578060606
2030,"EXUSGoods,t",экспорт товаров ФОБ,3298.4752801084705
2031,"EXUSGoods,t",экспорт товаров ФОБ,3051.718721744787
