year,var_name,description,value
1997,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",518.4
1998,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",1025.2
1999,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",1345
2000,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",1786.8
2001,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",2563.8
2002,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",3375.3
2003,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",4761.5
2004,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",6167.2
2005,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",7206.599999999999
2006,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",9335.300000000001
2007,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",12804.3
2008,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",17706.9
2009,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",20629
2010,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",24707.100000000002
2011,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",30071.1
2012,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",36163.1
2013,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",40525.2
2014,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",45606.6
2015,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",50977.399999999994
2016,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",54790.299999999996
2017,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",64434.3
2018,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",71059.2
2019,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",79109.79999999999
2020,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",83958.3
2021,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",101076.30000000002
2022,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",118181.70000000001
2023,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",132781.90000000002
2024,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",155783.9
2025,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",176919
2026,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",199898.1373681862
2027,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",225457.20835606457
2028,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",254610.4097119382
2029,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",290955.27502497676
2030,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",325987.59758401546
2031,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",368330.8046877212
2032,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",413970.29228411877
2033,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",460417.1837588718
2034,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",511101.7351686334
2035,"GDPmp,t","ВВП в рыночных ценах, млн. сомони",568732.0579310552
1997,gGDPt,"Реальный рост ВВП, %",101.7
1998,gGDPt,"Реальный рост ВВП, %",105.3
1999,gGDPt,"Реальный рост ВВП, %",103.7
2000,gGDPt,"Реальный рост ВВП, %",108.3
2001,gGDPt,"Реальный рост ВВП, %",109.6
2002,gGDPt,"Реальный рост ВВП, %",110.8
2003,gGDPt,"Реальный рост ВВП, %",111.1
2004,gGDPt,"Реальный рост ВВП, %",110.3
2005,gGDPt,"Реальный рост ВВП, %",106.7
2006,gGDPt,"Реальный рост ВВП, %",107
2007,gGDPt,"Реальный рост ВВП, %",107.8
2008,gGDPt,"Реальный рост ВВП, %",107.9
