year,var_name,description,value
2000,Курс доллара,,1.9367939393939382
2001,Курс доллара,,2.358831981981976
2002,Курс доллара,,2.767768627450979
2003,Курс доллара,,3.0617
2004,Курс доллара,,2.9709
2005,Курс доллара,,3.1166
2006,Курс доллара,,3.2984
2007,Курс доллара,,3.4425
2008,Курс доллара,,3.43
2009,Курс доллара,,4.14
2010,Курс доллара,,4.379
2011,Курс доллара,,4.6096
2012,Курс доллара,,4.7627
2013,Курс доллара,,4.7642
2014,Курс доллара,,4.9349
2015,Курс доллара,,6.1645
2016,Курс доллара,,7.8356
2017,Курс доллара,,8.5497
2018,Курс доллара,,9.1512
2019,Курс доллара,,9.5301
2020,Курс доллара,,10.3219
2021,Курс доллара,,11.3089
2022,Курс доллара,,11.0258
2023,Курс доллара,,10.8445
2024,Курс доллара,,10.7986
2025,Курс доллара,,10.0409
2026,Курс доллара,,9.176678
2027,Курс доллара,,9.414024
2028,Курс доллара,,9.692052
2029,Курс доллара,,9.882669
2030,Курс доллара,,10.01421
2031,Курс доллара,,10.29836
2032,Курс доллара,,10.46302
2033,Курс доллара,,10.34029
2034,Курс доллара,,10.34029
2035,Курс доллара,,10.34029
2010,Розничная и оптовая торговля,,6079.2
2011,Розничная и оптовая торговля,,7506.7
2012,Розничная и оптовая торговля,,9204.8
2013,Розничная и оптовая торговля,,11586.3
2014,Розничная и оптовая торговля,,13122.1
2015,Розничная и оптовая торговля,,14696.7
2016,Розничная и оптовая торговля,,16573.4
2017,Розничная и оптовая торговля,,18959.6
2018,Розничная и оптовая торговля,,20989
2019,Розничная и оптовая торговля,,25456.8
2020,Розничная и оптовая торговля,,27599.7
2021,Розничная и оптовая торговля,,33797.9
2022,Розничная и оптовая торговля,,47563.399999999994
2023,Розничная и оптовая торговля,,56124.4
2024,Розничная и оптовая торговля,,65783.8
2025,Розничная и оптовая торговля,,77307.1
2026,Розничная и оптовая торговля,,89946.5411776699
2027,Розничная и оптовая торговля,,105319.773929044
2028,Розничная и оптовая торговля,,120054.47057104275
2029,Розничная и оптовая торговля,,138358.42123583407
2030,Розничная и оптовая торговля,,149157.7179315917
2031,Розничная и оптовая торговля,,160879.0743705131
2032,Розничная и оптовая торговля,,174656.34444130448
2033,Розничная и оптовая торговля,,194923.91701782183
