year,var_name,description,value
2002,,"INDCDE,t",2418
2003,,"INDCDE,t",3205
2004,,"INDCDE,t",3952
2005,,"INDCDE,t",4278
2006,,"INDCDE,t",4663
2007,,"INDCDE,t",5571
2008,,"INDCDE,t",6106
2009,,"INDCDE,t",6501
2010,,"INDCDE,t",6164.700000000001
2011,,"INDCDE,t",7862
2012,,"INDCDE,t",9504
2013,,"INDCDE,t",9952
2014,,"INDCDE,t",10534.657
2015,,"INDCDE,t",12196
2016,,"INDCDE,t",15090
2017,,"INDCDE,t",20028.512
2018,,"INDCDE,t",23893.9
2019,,"INDCDE,t",27613.3
2020,,"INDCDE,t",30890
2021,,"INDCDE,t",38829
2022,,"INDCDE,t",42221.4
2023,,"INDCDE,t",46816
2024,,"INDCDE,t",53818.99999999999
2025,,"INDCDE,t",66726.1
2026,,"INDCDE,t",83491.03230614094
2027,,"INDCDE,t",104885.64945832182
2028,,"INDCDE,t",131605.53347201648
2029,,"INDCDE,t",164803.1608958661
2030,,"INDCDE,t",167867.77460593067
2031,,"INDCDE,t",171881.2545664156
2032,,"INDCDE,t",172762.8500399797
2033,,"INDCDE,t",196491.13487940727
2034,,"INDCDE,t",216673.07420805254
2035,,"INDCDE,t",241220.43643245698
2015,,"INDCDE,t",12196
2016,,"INDCDE,t",15090
2017,,"INDCDE,t",20029
2018,,"INDCDE,t",23894
2019,,"INDCDE,t",27613
2020,,"INDCDE,t",30890
2021,,"INDCDE,t",38829
2022,,"INDCDE,t",43025
2023,,"INDCDE,t",46857
2024,,"INDCDE,t",53873
2025,,"INDCDE,t",66726.1
2010,,"INDC,t",755
2011,,"INDC,t",975
2012,,"INDC,t",1227
2013,,"INDC,t",1117
2014,,"INDC,t",1402
2015,,"INDC,t",1641
2016,,"INDC,t",3004
2017,,"INDC,t",4523.512
2018,,"INDC,t",4685.9
2019,,"INDC,t",4853.3
2020,,"INDC,t",4309
2021,,"INDC,t",8409
2022,,"INDC,t",8890.9
2023,,"INDC,t",9373
2024,,"INDC,t",13363.1
2025,,"INDC,t",20000.2
2026,,"INDC,t",26754.531741408595
2027,,"INDC,t",29788.98137521019
2028,,"INDC,t",40744.2617425675
2029,,"INDC,t",48047.33451755567
2030,,"INDC,t",51160.5183389241
2031,,"INDC,t",37883.05405021305
2032,,"INDC,t",26182.762309147718
2033,,"INDC,t",30415.986988575227
2034,,"INDC,t",36342.37666614335
2035,,"INDC,t",43559.3058322371
2015,,"INDC,t",1641
2016,,"INDC,t",3004
2017,,"INDC,t",4524
2018,,"INDC,t",4686
2019,,"INDC,t",4853
2020,,"INDC,t",4309
2021,,"INDC,t",8409
2022,,"INDC,t",8906
2023,,"INDC,t",9336
2024,,"INDC,t",13369
2025,,"INDC,t",20000.2
2010,,"INDC13,t",677
2011,,"INDC13,t",900
2012,,"INDC13,t",1115
2013,,"INDC13,t",804
2014,,"INDC13,t",1175
2015,,"INDC13,t",1438
2016,,"INDC13,t",2782
2017,,"INDC13,t",4225.986
2018,,"INDC13,t",4355.2
2019,,"INDC13,t",4476.7
