year,var_name,description,value
2016,,Промышленность,2894
2017,,Промышленность,4938.511999999999
2018,,Промышленность,3865.3880000000026
2019,,Промышленность,3719.399999999998
2020,,Промышленность,3276.7000000000007
2021,,Промышленность,7939
2022,,Промышленность,3392.4000000000015
2023,,Промышленность,4594.5999999999985
2024,,Промышленность,7002.999999999993
2025,,Промышленность,12907.100000000013
2026,,Промышленность,12976.184546771954
2027,,Промышленность,14034.47374753005
2028,,Промышленность,13337.514761661543
2029,,Промышленность,9206.495631677855
2030,,Промышленность,8750.895402247756
2031,,Промышленность,15327.473329820248
2032,,Промышленность,4507.209976675251
2033,,Промышленность,17924.690218306438
2034,,Промышленность,26558.833153713756
2035,,Промышленность,24808.44450376235
2015,"INDCDE,t",Промышленное производство,12196
2016,"INDCDE,t",Промышленное производство,15090
2017,"INDCDE,t",Промышленное производство,20028.512
2018,"INDCDE,t",Промышленное производство,23893.9
2019,"INDCDE,t",Промышленное производство,27613.3
2020,"INDCDE,t",Промышленное производство,30890
2021,"INDCDE,t",Промышленное производство,38829
2022,"INDCDE,t",Промышленное производство,42221.4
2023,"INDCDE,t",Промышленное производство,46816
2024,"INDCDE,t",Промышленное производство,53818.99999999999
2025,"INDCDE,t",Промышленное производство,66726.1
2026,"INDCDE,t",Промышленное производство,79702.28454677196
2027,"INDCDE,t",Промышленное производство,93736.75829430201
2028,"INDCDE,t",Промышленное производство,107074.27305596355
2029,"INDCDE,t",Промышленное производство,116280.76868764141
2030,"INDCDE,t",Промышленное производство,125031.66408988916
2031,"INDCDE,t",Промышленное производство,140359.1374197094
2032,"INDCDE,t",Промышленное производство,144866.34739638466
2033,"INDCDE,t",Промышленное производство,162791.0376146911
2034,"INDCDE,t",Промышленное производство,189349.87076840486
2035,"INDCDE,t",Промышленное производство,214158.3152721672
2015,"INDC,t",Добыча полезных ископаемых,1641
2016,"INDC,t",Добыча полезных ископаемых,3004
2017,"INDC,t",Добыча полезных ископаемых,4523.512
2018,"INDC,t",Добыча полезных ископаемых,4685.9
2019,"INDC,t",Добыча полезных ископаемых,4853.3
2020,"INDC,t",Добыча полезных ископаемых,4309
2021,"INDC,t",Добыча полезных ископаемых,8409
2022,"INDC,t",Добыча полезных ископаемых,8890.9
2023,"INDC,t",Добыча полезных ископаемых,9373
2024,"INDC,t",Добыча полезных ископаемых,13363.1
2025,"INDC,t",Добыча полезных ископаемых,20000.2
2026,"INDC,t",Добыча полезных ископаемых,19987.8059788461
2027,"INDC,t",Добыча полезных ископаемых,22143.852890096194
2028,"INDC,t",Добыча полезных ископаемых,25494.69789620849
2029,"INDC,t",Добыча полезных ископаемых,30545.463015414196
2030,"INDC,t",Добыча полезных ископаемых,37599.25013725021
2031,"INDC,t",Добыча полезных ископаемых,40529.89337552978
2032,"INDC,t",Добыча полезных ископаемых,49243.45140796709
2033,"INDC,t",Добыча полезных ископаемых,59527.362540028145
2034,"INDC,t",Добыча полезных ископаемых,76203.97734672658
2035,"INDC,t",Добыча полезных ископаемых,90328.82228169598
2015,"INDC13,t",Добыча неэнергетических материалов,1438
2016,"INDC13,t",Добыча неэнергетических материалов,2782
2017,"INDC13,t",Добыча неэнергетических материалов,4225.986
2018,"INDC13,t",Добыча неэнергетических материалов,4355.2
2019,"INDC13,t",Добыча неэнергетических материалов,4476.7
2020,"INDC13,t",Добыча неэнергетических материалов,3880
2021,"INDC13,t",Добыча неэнергетических материалов,7924
2022,"INDC13,t",Добыча неэнергетических материалов,8309
2023,"INDC13,t",Добыча неэнергетических материалов,8795
2024,"INDC13,t",Добыча неэнергетических материалов,12653.6
2025,"INDC13,t",Добыча неэнергетических материалов,19179.5
2026,"INDC13,t",Добыча неэнергетических материалов,18957.6190210461
2027,"INDC13,t",Добыча неэнергетических материалов,19739.658801767833
2028,"INDC13,t",Добыча неэнергетических материалов,22354.90153051348
2029,"INDC13,t",Добыча неэнергетических материалов,25985.802107042997
2030,"INDC13,t",Добыча неэнергетических материалов,30281.432193684388
2031,"INDC13,t",Добыча неэнергетических материалов,31171.79878754267
2032,"INDC13,t",Добыча неэнергетических материалов,36737.43574841434
2033,"INDC13,t",Добыча неэнергетических материалов,42478.61661443029
2034,"INDC13,t",Добыча неэнергетических материалов,48850.40910659484
2035,"INDC13,t",Добыча неэнергетических материалов,58620.49092791381
2015,"INDCOther,t",Добыча энергетических материалов,203
2016,"INDCOther,t",Добыча энергетических материалов,222
2017,"INDCOther,t",Добыча энергетических материалов,297.526
2018,"INDCOther,t",Добыча энергетических материалов,330.7
2019,"INDCOther,t",Добыча энергетических материалов,376.6
2020,"INDCOther,t",Добыча энергетических материалов,429
2021,"INDCOther,t",Добыча энергетических материалов,485
2022,"INDCOther,t",Добыча энергетических материалов,581.9
2023,"INDCOther,t",Добыча энергетических материалов,578
2024,"INDCOther,t",Добыча энергетических материалов,709.5
2025,"INDCOther,t",Добыча энергетических материалов,820.7
2026,"INDCOther,t",Добыча энергетических материалов,1030.1869578
2027,"INDCOther,t",Добыча энергетических материалов,2404.1940883283614
2028,"INDCOther,t",Добыча энергетических материалов,3139.79636569501
2029,"INDCOther,t",Добыча энергетических материалов,4559.660908371198
2030,"INDCOther,t",Добыча энергетических материалов,7317.817943565823
2031,"INDCOther,t",Добыча энергетических материалов,9358.094587987105
2032,"INDCOther,t",Добыча энергетических материалов,12506.015659552748
2033,"INDCOther,t",Добыча энергетических материалов,17048.745925597854
2034,"INDCOther,t",Добыча энергетических материалов,27353.568240131743
2035,"INDCOther,t",Добыча энергетических материалов,31708.33135378217
2015,"INDDJ, t",Обрабатывающая промышленность,8006
2016,"INDDJ, t",Обрабатывающая промышленность,9368
2017,"INDDJ, t",Обрабатывающая промышленность,11776
2018,"INDDJ, t",Обрабатывающая промышленность,13520
2019,"INDDJ, t",Обрабатывающая промышленность,15952
2020,"INDDJ, t",Обрабатывающая промышленность,19054
2021,"INDDJ, t",Обрабатывающая промышленность,22313
2022,"INDDJ, t",Обрабатывающая промышленность,25708.7
2023,"INDDJ, t",Обрабатывающая промышленность,28459.8
2024,"INDDJ, t",Обрабатывающая промышленность,30275.6
2025,"INDDJ, t",Обрабатывающая промышленность,34595.4
2026,"INDDJ, t",Обрабатывающая промышленность,38919.845750175664
2027,"INDDJ, t",Обрабатывающая промышленность,47211.87341301622
2028,"INDDJ, t",Обрабатывающая промышленность,55225.98676189239
2029,"INDDJ, t",Обрабатывающая промышленность,57299.82374863189
2030,"INDDJ, t",Обрабатывающая промышленность,56373.30485437962
2031,"INDDJ, t",Обрабатывающая промышленность,66356.65288013965
2032,"INDDJ, t",Обрабатывающая промышленность,59586.67110218201
2033,"INDDJ, t",Обрабатывающая промышленность,64537.102897894816
2034,"INDDJ, t",Обрабатывающая промышленность,71515.25357155
2035,"INDDJ, t",Обрабатывающая промышленность,79090.12945894145
2015,"INDDA, t",пищевые продукты и табак,3482
2016,"INDDA, t",пищевые продукты и табак,3690
2017,"INDDA, t",пищевые продукты и табак,4304
2018,"INDDA, t",пищевые продукты и табак,4900
2019,"INDDA, t",пищевые продукты и табак,5399
2020,"INDDA, t",пищевые продукты и табак,7089
2021,"INDDA, t",пищевые продукты и табак,7608
2022,"INDDA, t",пищевые продукты и табак,10099
2023,"INDDA, t",пищевые продукты и табак,11610
2024,"INDDA, t",пищевые продукты и табак,11445.7
2025,"INDDA, t",пищевые продукты и табак,12431.3
2026,"INDDA, t",пищевые продукты и табак,17935.2472
2027,"INDDA, t",пищевые продукты и табак,22290.43662463911
2028,"INDDA, t",пищевые продукты и табак,24269.859436869676
2029,"INDDA, t",пищевые продукты и табак,25392.839662106024
2030,"INDDA, t",пищевые продукты и табак,22113.054033491455
2031,"INDDA, t",пищевые продукты и табак,25931.86495686907
2032,"INDDA, t",пищевые продукты и табак,17228.50511422768
2033,"INDDA, t",пищевые продукты и табак,18198.358975361352
