year,var_name,description,value
2000,dCPIAVt,"Инфляция, в т.ч., факт - сргод",124
2001,dCPIAVt,"Инфляция, в т.ч., факт - сргод",136.5
2002,dCPIAVt,"Инфляция, в т.ч., факт - сргод",110.2
2003,dCPIAVt,"Инфляция, в т.ч., факт - сргод",117.1
2004,dCPIAVt,"Инфляция, в т.ч., факт - сргод",106.8
2005,dCPIAVt,"Инфляция, в т.ч., факт - сргод",107.8
2006,dCPIAVt,"Инфляция, в т.ч., факт - сргод",111.9
2007,dCPIAVt,"Инфляция, в т.ч., факт - сргод",121.5
2008,dCPIAVt,"Инфляция, в т.ч., факт - сргод",120.4
2009,dCPIAVt,"Инфляция, в т.ч., факт - сргод",106.4
2010,dCPIAVt,"Инфляция, в т.ч., факт - сргод",106.5
2011,dCPIAVt,"Инфляция, в т.ч., факт - сргод",112.00654526092403
2012,dCPIAVt,"Инфляция, в т.ч., факт - сргод",116.17375005306006
2013,dCPIAVt,"Инфляция, в т.ч., факт - сргод",114.61268190441857
2014,dCPIAVt,"Инфляция, в т.ч., факт - сргод",112.76055303839603
2015,dCPIAVt,"Инфляция, в т.ч., факт - сргод",105.8
2016,dCPIAVt,"Инфляция, в т.ч., факт - сргод",105.9
2017,dCPIAVt,"Инфляция, в т.ч., факт - сргод",107.3
2018,dCPIAVt,"Инфляция, в т.ч., факт - сргод",103.69922162162163
2019,dCPIAVt,"Инфляция, в т.ч., факт - сргод",107.9
2020,dCPIAVt,"Инфляция, в т.ч., факт - сргод",108.6
2021,dCPIAVt,"Инфляция, в т.ч., факт - сргод",109
2022,dCPIAVt,"Инфляция, в т.ч., факт - сргод",106.6
2023,dCPIAVt,"Инфляция, в т.ч., факт - сргод",103.7
2024,dCPIAVt,"Инфляция, в т.ч., факт - сргод",103.5
2025,dCPIAVt,"Инфляция, в т.ч., факт - сргод",103.4
2026,dCPIAVt,"Инфляция, в т.ч., факт - сргод",103.9340651277351
2027,dCPIAVt,"Инфляция, в т.ч., факт - сргод",104.0327205752226
2028,dCPIAVt,"Инфляция, в т.ч., факт - сргод",103.79573354705161
2029,dCPIAVt,"Инфляция, в т.ч., факт - сргод",103.90476385361526
2030,dCPIAVt,"Инфляция, в т.ч., факт - сргод",104.0610370987884
2031,dCPIAVt,"Инфляция, в т.ч., факт - сргод",104.42699610043036
2032,dCPIAVt,"Инфляция, в т.ч., факт - сргод",104.43908669485012
