year,var_name,description,value
1997,TRANCt,"Перевозка грузов, млн.тонна",36
1998,TRANCt,"Перевозка грузов, млн.тонна",34.6
1999,TRANCt,"Перевозка грузов, млн.тонна",27.7
2000,TRANCt,"Перевозка грузов, млн.тонна",27.676299999999998
2001,TRANCt,"Перевозка грузов, млн.тонна",30.012700000000002
2002,TRANCt,"Перевозка грузов, млн.тонна",35.6024
2003,TRANCt,"Перевозка грузов, млн.тонна",32.9246
2004,TRANCt,"Перевозка грузов, млн.тонна",35.7322
2005,TRANCt,"Перевозка грузов, млн.тонна",38.593599999999995
2006,TRANCt,"Перевозка грузов, млн.тонна",39.541
2007,TRANCt,"Перевозка грузов, млн.тонна",44.998
2008,TRANCt,"Перевозка грузов, млн.тонна",47.732
2009,TRANCt,"Перевозка грузов, млн.тонна",58.863
2010,TRANCt,"Перевозка грузов, млн.тонна",59.327
2011,TRANCt,"Перевозка грузов, млн.тонна",61.657
2012,TRANCt,"Перевозка грузов, млн.тонна",68.399
2013,TRANCt,"Перевозка грузов, млн.тонна",72.2
2014,TRANCt,"Перевозка грузов, млн.тонна",74.4
2015,TRANCt,"Перевозка грузов, млн.тонна",74.4
2016,TRANCt,"Перевозка грузов, млн.тонна",84.1
2017,TRANCt,"Перевозка грузов, млн.тонна",84.1
2018,TRANCt,"Перевозка грузов, млн.тонна",89.6
2019,TRANCt,"Перевозка грузов, млн.тонна",85.4
2020,TRANCt,"Перевозка грузов, млн.тонна",79.9
2021,TRANCt,"Перевозка грузов, млн.тонна",82
2022,TRANCt,"Перевозка грузов, млн.тонна",103.4
2023,TRANCt,"Перевозка грузов, млн.тонна",120.6
2024,TRANCt,"Перевозка грузов, млн.тонна",134.4
2025,TRANCt,"Перевозка грузов, млн.тонна",154.8
2026,TRANCt,"Перевозка грузов, млн.тонна",178.4592
2027,TRANCt,"Перевозка грузов, млн.тонна",203.08556639999998
2028,TRANCt,"Перевозка грузов, млн.тонна",232.96646383968
2029,TRANCt,"Перевозка грузов, млн.тонна",262.836070185446
2030,TRANCt,"Перевозка грузов, млн.тонна",278.0086042862019
2031,TRANCt,"Перевозка грузов, млн.тонна",294.05754746630157
2032,TRANCt,"Перевозка грузов, млн.тонна",311.0335515574221
2033,TRANCt,"Перевозка грузов, млн.тонна",328.99019720273134
2034,TRANCt,"Перевозка грузов, млн.тонна",347.98416327821747
2035,TRANCt,"Перевозка грузов, млн.тонна",368.07540611796816
2003,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",100
2004,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",118.04233118840109
2005,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",137.16424690156148
2006,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",141.2394408590105
2007,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",167.1273858810169
2008,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",162.22222712534568
2009,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",151.63620741541897
2010,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",175.32456118743553
2011,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",189.8379103337267
2012,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",242.58339167190815
2013,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",238.8654940919852
2014,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",242.72655526743137
2015,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",258.4009002907822
2016,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",295.530090881854
2017,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",373.94613683368254
2018,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",419.91300049284655
2019,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",455.18244019927516
2020,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",524.5713707311074
2021,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",614.1337319002441
2022,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",740.2713855762883
2023,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",850.6074080637802
2024,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",902.8822358658164
2025,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",1017.1199076167698
2026,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",1442.2762880725586
2027,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",2181.094712696143
2028,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",3072.282984138707
2029,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",4829.535890603808
2030,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",6890.809228270384
2031,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",9791.404017835326
2032,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",14359.334151892468
2033,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",15578.242161505881
2034,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",16209.066206087722
2035,"PROXYTRANIND,t","Промышленное производство, превозимое автотранспортом",21202.481645637476
1997,"TRANCM, t","- в т.ч. авто, млн.тонна",22.8
1998,"TRANCM, t","- в т.ч. авто, млн.тонна",21.900000000000002
1999,"TRANCM, t","- в т.ч. авто, млн.тонна",16.1
2000,"TRANCM, t","- в т.ч. авто, млн.тонна",14.576299999999998
2001,"TRANCM, t","- в т.ч. авто, млн.тонна",17.295900000000003
2002,"TRANCM, t","- в т.ч. авто, млн.тонна",23.802400000000002
2003,"TRANCM, t","- в т.ч. авто, млн.тонна",21.2003
2004,"TRANCM, t","- в т.ч. авто, млн.тонна",23.459799999999998
2005,"TRANCM, t","- в т.ч. авто, млн.тонна",26.4757
2006,"TRANCM, t","- в т.ч. авто, млн.тонна",25.6036
2007,"TRANCM, t","- в т.ч. авто, млн.тонна",30.497500000000002
2008,"TRANCM, t","- в т.ч. авто, млн.тонна",33.1856
2009,"TRANCM, t","- в т.ч. авто, млн.тонна",42.314800000000005
2010,"TRANCM, t","- в т.ч. авто, млн.тонна",50.800000000000004
2011,"TRANCM, t","- в т.ч. авто, млн.тонна",52.397
2012,"TRANCM, t","- в т.ч. авто, млн.тонна",60.42560157407882
2013,"TRANCM, t","- в т.ч. авто, млн.тонна",65.5
2014,"TRANCM, t","- в т.ч. авто, млн.тонна",67.6
2015,"TRANCM, t","- в т.ч. авто, млн.тонна",68.3
2016,"TRANCM, t","- в т.ч. авто, млн.тонна",78.6
2017,"TRANCM, t","- в т.ч. авто, млн.тонна",79.5
2018,"TRANCM, t","- в т.ч. авто, млн.тонна",84.3
2019,"TRANCM, t","- в т.ч. авто, млн.тонна",79.6
2020,"TRANCM, t","- в т.ч. авто, млн.тонна",73.6
2021,"TRANCM, t","- в т.ч. авто, млн.тонна",76.3
2022,"TRANCM, t","- в т.ч. авто, млн.тонна",97.3
2023,"TRANCM, t","- в т.ч. авто, млн.тонна",114.1
2024,"TRANCM, t","- в т.ч. авто, млн.тонна",127.7
2025,"TRANCM, t","- в т.ч. авто, млн.тонна",147.4
2026,"TRANCM, t","- в т.ч. авто, млн.тонна",170.6892
2027,"TRANCM, t","- в т.ч. авто, млн.тонна",194.92706639999997
2028,"TRANCM, t","- в т.ч. авто, млн.тонна",224.40003883967998
2029,"TRANCM, t","- в т.ч. авто, млн.тонна",253.84132393544598
2030,"TRANCM, t","- в т.ч. авто, млн.тонна",268.5641207237019
2031,"TRANCM, t","- в т.ч. авто, млн.тонна",284.1408397256766
2032,"TRANCM, t","- в т.ч. авто, млн.тонна",300.6210084297658
2033,"TRANCM, t","- в т.ч. авто, млн.тонна",318.05702691869226
2034,"TRANCM, t","- в т.ч. авто, млн.тонна",336.5043344799764
2035,"TRANCM, t","- в т.ч. авто, млн.тонна",356.02158587981506
1997,"TRANCOther, t",- прочее,13.2
1998,"TRANCOther, t",- прочее,12.7
1999,"TRANCOther, t",- прочее,11.6
2000,"TRANCOther, t",- прочее,13.1
2001,"TRANCOther, t",- прочее,12.7168
2002,"TRANCOther, t",- прочее,11.8
2003,"TRANCOther, t",- прочее,11.7243
2004,"TRANCOther, t",- прочее,12.272400000000001
2005,"TRANCOther, t",- прочее,12.117899999999995
2006,"TRANCOther, t",- прочее,13.937399999999997
2007,"TRANCOther, t",- прочее,14.5
2008,"TRANCOther, t",- прочее,14.546700000000001
2009,"TRANCOther, t",- прочее,14.548199999999994
2010,"TRANCOther, t",- прочее,10.4
2011,"TRANCOther, t",- прочее,9.259999999999998
2012,"TRANCOther, t",- прочее,7.973398425921182
2013,"TRANCOther, t",- прочее,6.700000000000003
2014,"TRANCOther, t",- прочее,6.800000000000011
2015,"TRANCOther, t",- прочее,6.1000000000000085
2016,"TRANCOther, t",- прочее,5.5
2017,"TRANCOther, t",- прочее,4.599999999999994
2018,"TRANCOther, t",- прочее,5.299999999999997
2019,"TRANCOther, t",- прочее,5.800000000000011
2020,"TRANCOther, t",- прочее,6.300000000000011
2021,"TRANCOther, t",- прочее,5.700000000000003
2022,"TRANCOther, t",- прочее,6.1000000000000085
2023,"TRANCOther, t",- прочее,6.5
2024,"TRANCOther, t",- прочее,6.700000000000003
2025,"TRANCOther, t",- прочее,7.400000000000006
2026,"TRANCOther, t",- прочее,7.770000000000007
2027,"TRANCOther, t",- прочее,8.158500000000007
2028,"TRANCOther, t",- прочее,8.566425000000008
