year,indicator,sub_row,value
2013,"ВВП в рыночных ценах, млн. сомони",value,40525.2
2014,"ВВП в рыночных ценах, млн. сомони",value,45606.6
2015,"ВВП в рыночных ценах, млн. сомони",value,50977.399999999994
2016,"ВВП в рыночных ценах, млн. сомони",value,54790.299999999996
2017,"ВВП в рыночных ценах, млн. сомони",value,64434.3
2018,"ВВП в рыночных ценах, млн. сомони",value,71059.2
2019,"ВВП в рыночных ценах, млн. сомони",value,79109.79999999999
2020,"ВВП в рыночных ценах, млн. сомони",value,83958.3
2021,"ВВП в рыночных ценах, млн. сомони",value,101076.30000000002
2022,"ВВП в рыночных ценах, млн. сомони",value,118181.70000000001
2023,"ВВП в рыночных ценах, млн. сомони",value,132781.90000000002
2024,"ВВП в рыночных ценах, млн. сомони",value,155783.9
2025,"ВВП в рыночных ценах, млн. сомони",value,176919
2026,"ВВП в рыночных ценах, млн. сомони",value,199898.1373681862
2027,"ВВП в рыночных ценах, млн. сомони",value,225457.20835606457
2028,"ВВП в рыночных ценах, млн. сомони",value,254610.4097119382
2029,"ВВП в рыночных ценах, млн. сомони",value,290955.27502497676
2030,"ВВП в рыночных ценах, млн. сомони",value,325987.59758401546
2031,"ВВП в рыночных ценах, млн. сомони",value,368330.8046877212
2032,"ВВП в рыночных ценах, млн. сомони",value,413970.29228411877
2033,"ВВП в рыночных ценах, млн. сомони",value,460417.1837588718
2034,"ВВП в рыночных ценах, млн. сомони",value,511101.7351686334
2035,"ВВП в рыночных ценах, млн. сомони",value,568732.0579310552
2013,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",107.4
2014,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",106.7
2015,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",106
2016,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",106.89999999999999
2017,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",107.1
2018,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",106.95738760256572
2019,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",107.4424302553364
2020,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",104.6338937780149
2021,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",110.98124580893132
2022,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",108.03592118033602
2023,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",108.31976837361451
2024,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",108.4291832644482
2025,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",108.43562605134716
2026,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",108.4943315698956
2027,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",108.43204362986133
2028,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",108.5884711213525
2029,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",108.78200675581428
2030,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",108.04843594512415
2031,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",108.54825631851573
2032,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",108.06837462699862
2033,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",108.10104640261854
2034,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",108.24890917885453
2035,"ВВП в рыночных ценах, млн. сомони","Реальный рост ВВП, %",108.60848412660823
2013,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",104.34105730386703
2014,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",105.47222559175718
2015,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",105.44940160514669
2016,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",100.54217866635985
2017,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",109.80546757006118
2018,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",103.10801169007861
2019,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",103.61774809722768
2020,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",101.42872414598965
2021,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",108.47660979185154
2022,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",108.22627671327531
2023,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",103.72439807211711
2024,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",108.20255272739531
2025,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",106.4321243436517
2026,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",104.1423139284166
2027,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",104.11542184451834
2028,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",103.99879613927943
2029,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",105.14926386330478
2030,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",103.9946517394631
2031,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",104.0912234170238
2032,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",103.99980249987213
2033,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",102.88509198118591
2034,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",102.54920611630706
2035,"ВВП в рыночных ценах, млн. сомони","Дефлятор ВВП, %",102.45581242644181
2013,"Сельское хозяйство, млн. сомони",value,16756.6
2014,"Сельское хозяйство, млн. сомони",value,21021.9
2015,"Сельское хозяйство, млн. сомони",value,21577.8
2016,"Сельское хозяйство, млн. сомони",value,22907.67173111347
2017,"Сельское хозяйство, млн. сомони",value,24576
2018,"Сельское хозяйство, млн. сомони",value,45645.8
2019,"Сельское хозяйство, млн. сомони",value,48889.8
2020,"Сельское хозяйство, млн. сомони",value,53235.2
2021,"Сельское хозяйство, млн. сомони",value,56806.7
2022,"Сельское хозяйство, млн. сомони",value,61337.9
2023,"Сельское хозяйство, млн. сомони",value,66907.2
2024,"Сельское хозяйство, млн. сомони",value,73976.6
2025,"Сельское хозяйство, млн. сомони",value,84653.8
2026,"Сельское хозяйство, млн. сомони",value,95155.3649055747
2027,"Сельское хозяйство, млн. сомони",value,104591.33871634123
2028,"Сельское хозяйство, млн. сомони",value,114715.98328108198
2029,"Сельское хозяйство, млн. сомони",value,125434.66879246393
2030,"Сельское хозяйство, млн. сомони",value,136949.66205418564
2031,"Сельское хозяйство, млн. сомони",value,148095.74720289503
2032,"Сельское хозяйство, млн. сомони",value,159589.22939203866
2033,"Сельское хозяйство, млн. сомони",value,172013.1801808544
2034,"Сельское хозяйство, млн. сомони",value,184982.76954834524
2035,"Сельское хозяйство, млн. сомони",value,199395.93071211304
2013,"Сельское хозяйство, млн. сомони",Темп роста к предыдущему году в %,107.6
2014,"Сельское хозяйство, млн. сомони",Темп роста к предыдущему году в %,104.5
2015,"Сельское хозяйство, млн. сомони",Темп роста к предыдущему году в %,103.2
2016,"Сельское хозяйство, млн. сомони",Темп роста к предыдущему году в %,105.2
2017,"Сельское хозяйство, млн. сомони",Темп роста к предыдущему году в %,106.8
2018,"Сельское хозяйство, млн. сомони",Темп роста к предыдущему году в %,104
2019,"Сельское хозяйство, млн. сомони",Темп роста к предыдущему году в %,107.1
2020,"Сельское хозяйство, млн. сомони",Темп роста к предыдущему году в %,108.8
2021,"Сельское хозяйство, млн. сомони",Темп роста к предыдущему году в %,106.6
2022,"Сельское хозяйство, млн. сомони",Темп роста к предыдущему году в %,108
2023,"Сельское хозяйство, млн. сомони",Темп роста к предыдущему году в %,109
2024,"Сельское хозяйство, млн. сомони",Темп роста к предыдущему году в %,110.6
2025,"Сельское хозяйство, млн. сомони",Темп роста к предыдущему году в %,109.5
2026,"Сельское хозяйство, млн. сомони",Темп роста к предыдущему году в %,108.91987241566737
