year,var_name,description,value
2000,ВВП,,1806.767
2001,ВВП,,2512.1127
2002,ВВП,,3344.5519
2003,ВВП,,4757.8
2004,ВВП,,6157.5
2005,ВВП,,7206.599999999999
2006,ВВП,,9335.300000000001
2007,ВВП,,12804.3
2008,ВВП,,17706.9
2009,ВВП,,20629
2010,ВВП,,24707.100000000002
2011,ВВП,,30071.1
2012,ВВП,,36163.1
2013,ВВП,,40525.2
2014,ВВП,,45606.6
2015,ВВП,,50977.399999999994
2016,ВВП,,54790.299999999996
2017,ВВП,,64434.3
2018,ВВП,,71059.2
2019,ВВП,,79109.79999999999
2020,ВВП,,83958.3
2021,ВВП,,101076.30000000002
2022,ВВП,,118181.70000000001
2023,ВВП,,132781.90000000002
2024,ВВП,,155783.9
2025,ВВП,,176919
2026,ВВП,,199898.1373681862
2027,ВВП,,225457.20835606457
2028,ВВП,,254610.4097119382
2029,ВВП,,290955.27502497676
2030,ВВП,,325987.59758401546
2031,ВВП,,368330.8046877212
2032,ВВП,,413970.29228411877
2033,ВВП,,460417.1837588718
2034,ВВП,,511101.7351686334
2035,ВВП,,568732.0579310552
2000,Импорт товаров и услуг,,1244.8223651333335
2001,Импорт товаров и услуг,,1633.8607349999997
2002,Импорт товаров и услуг,,1997.7292689866667
2003,Импорт товаров и услуг,,2696.3122551083334
2004,Импорт товаров и услуг,,4088.59566
2005,Импорт товаров и услуг,,5243.50777534
2006,Импорт товаров и услуг,,7819.76557936
2007,Импорт товаров и услуг,,12761.634948750001
2008,Импорт товаров и услуг,,14004.9
2009,Импорт товаров и услуг,,12686.7
2010,Импорт товаров и услуг,,14577.7
2011,Импорт товаров и услуг,,22286.1
2012,Импорт товаров и услуг,,25114
2013,Импорт товаров и услуг,,26051.9
2014,Импорт товаров и услуг,,26676.2
2015,Импорт товаров и услуг,,20460
2016,Импорт товаров и услуг,,23299.3
2017,Импорт товаров и услуг,,25037.6
2018,Импорт товаров и услуг,,29468.7
2019,Импорт товаров и услуг,,32486.5
2020,Импорт товаров и услуг,,32260.8
2021,Импорт товаров и услуг,,48156.8
2022,Импорт товаров и услуг,,58006.4
2023,Импорт товаров и услуг,,64323.5
2024,Импорт товаров и услуг,,74585.1
2025,Импорт товаров и услуг,,87535.95370510001
2026,Импорт товаров и услуг,,80656.40268331204
2027,Импорт товаров и услуг,,85329.10075696882
2028,Импорт товаров и услуг,,90451.62323880519
2029,Импорт товаров и услуг,,97325.40368097513
2030,Импорт товаров и услуг,,104932.07627590917
2031,Импорт товаров и услуг,,116533.95700262485
2032,Импорт товаров и услуг,,128335.67871648754
2033,Импорт товаров и услуг,,129767.63891000372
2034,Импорт товаров и услуг,,135718.05444469416
2035,Импорт товаров и услуг,,172775.63758438913
2000,Экспорт товаров и услуг,,1448.6062281333334
2001,Экспорт товаров и услуг,,1559.7607978333335
2002,Экспорт товаров и услуг,,2047.983536013333
2003,Экспорт товаров и услуг,,2441.1369090333333
2004,Экспорт товаров и услуг,,2720.081565833333
2005,Экспорт товаров и услуг,,3909.5708743600007
2006,Экспорт товаров и услуг,,5243.22173872
2007,Экспорт товаров и услуг,,5871.41887275
2008,Экспорт товаров и услуг,,5782.4
2009,Экспорт товаров и услуг,,5048
2010,Экспорт товаров и услуг,,6620.7
2011,Экспорт товаров и услуг,,5335
2012,Экспорт товаров и услуг,,7829.5
2013,Экспорт товаров и услуг,,7582.6
2014,Экспорт товаров и услуг,,5143.4
2015,Экспорт товаров и услуг,,4997.2
2016,Экспорт товаров и услуг,,7232.5
2017,Экспорт товаров и услуг,,9619.1
2018,Экспорт товаров и услуг,,10215.1
2019,Экспорт товаров и услуг,,11850.6
2020,Экспорт товаров и услуг,,14545.2
2021,Экспорт товаров и услуг,,24442.2
2022,Экспорт товаров и услуг,,19326.4
2023,Экспорт товаров и услуг,,22827.7
2024,Экспорт товаров и услуг,,17467.5
2025,Экспорт товаров и услуг,,33946.68958078258
2026,Экспорт товаров и услуг,,35600.83602720817
2027,Экспорт товаров и услуг,,39596.77622807717
2028,Экспорт товаров и услуг,,44151.942449272814
2029,Экспорт товаров и услуг,,49171.80942785657
2030,Экспорт товаров и услуг,,54369.44045280299
2031,Экспорт товаров и услуг,,56441.6201223378
2032,Экспорт товаров и услуг,,62629.97571208467
2033,Экспорт товаров и услуг,,68972.93134089503
2034,Экспорт товаров и услуг,,76895.79837151174
2035,Экспорт товаров и услуг,,86147.8050413906
2000,Конечное потребление,,1947.9911758666667
2001,Конечное потребление,,2803.0056259166668
2002,Конечное потребление,,3788.76557303
2003,Конечное потребление,,5224.4900801125
2004,Конечное потребление,,6827.949117455833
2005,Конечное потребление,,7701.136900979998
2006,Конечное потребление,,10421.343840640002
2007,Конечное потребление,,16540.416076
2008,Конечное потребление,,17156.5
2009,Конечное потребление,,20380.2
2010,Конечное потребление,,23726.2
2011,Конечное потребление,,33314.9
2012,Конечное потребление,,41047.7
2013,Конечное потребление,,46141.6
2014,Конечное потребление,,51376.3
2015,Конечное потребление,,42206.3
2016,Конечное потребление,,50109.6
2017,Конечное потребление,,59167.4
2018,Конечное потребление,,62273.399999999994
2019,Конечное потребление,,69139
2020,Конечное потребление,,74861.6
2021,Конечное потребление,,92235.3
2022,Конечное потребление,,115547
2023,Конечное потребление,,133104.30000000002
2024,Конечное потребление,,161955.2
2025,Конечное потребление,,163129.42226810416
2026,Конечное потребление,,179844.37485575455
2027,Конечное потребление,,196983.31364556632
2028,Конечное потребление,,212475.27645251172
2029,Конечное потребление,,236261.4104138476
2030,Конечное потребление,,258756.0105729163
2031,Конечное потребление,,280866.47143267293
2032,Конечное потребление,,308320.3023636903
2033,Конечное потребление,,335624.0331156512
2034,Конечное потребление,,366029.2757860763
2035,Конечное потребление,,400502.89614980627
2000,Частное потребление,,1695.4281758666666
2001,Частное потребление,,2425.675625916667
2002,Частное потребление,,3340.98547303
2003,Частное потребление,,4552.3796801125
2004,Частное потребление,,5740.349117455833
2005,Частное потребление,,6648.836900979998
2006,Частное потребление,,9384.743840640002
2007,Частное потребление,,15400.316076000001
2008,Частное потребление,,15145
2009,Частное потребление,,17605.3
2010,Частное потребление,,20717.1
2011,Частное потребление,,28935.7
2012,Частное потребление,,27407.100000000002
2013,Частное потребление,,41354.9
2014,Частное потребление,,44082
2015,Частное потребление,,36003
2016,Частное потребление,,43219.8
2017,Частное потребление,,51499.4
2018,Частное потребление,,53938.7
2019,Частное потребление,,59925
2020,Частное потребление,,64584
2021,Частное потребление,,80377.1
2022,Частное потребление,,102715.8
2023,Частное потребление,,118160.2
2024,Частное потребление,,143478
2025,Частное потребление,,142970.5048312477
2026,Частное потребление,,156795.4531059429
2027,Частное потребление,,170643.49002913773
2028,Частное потребление,,182359.93127978497
2029,Частное потребление,,201698.2125804785
2030,Частное потребление,,219332.16769183526
2031,Частное потребление,,235775.56493457354
2032,Частное потребление,,256827.1703178795
2033,Частное потребление,,276995.43363556557
2034,Частное потребление,,299297.532927531
2035,Частное потребление,,324477.2430185544
2000,Гос. фонд зарплаты,,67
2001,Гос. фонд зарплаты,,82
2002,Гос. фонд зарплаты,,108
2003,Гос. фонд зарплаты,,133
2004,Гос. фонд зарплаты,,168
2005,Гос. фонд зарплаты,,260.6
2006,Гос. фонд зарплаты,,365.7
2007,Гос. фонд зарплаты,,526.5
2008,Гос. фонд зарплаты,,652
2009,Гос. фонд зарплаты,,919.3
2010,Гос. фонд зарплаты,,1138.2
2011,Гос. фонд зарплаты,,1328.9
2012,Гос. фонд зарплаты,,1744.4
2013,Гос. фонд зарплаты,,2401.2
2014,Гос. фонд зарплаты,,3177.3
2015,Гос. фонд зарплаты,,3403.7
2016,Гос. фонд зарплаты,,3915.2
2017,Гос. фонд зарплаты,,4496.9
2018,Гос. фонд зарплаты,,4923.9
