year,indicator,unit,value,yoy_pct
2022,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,9982.6,101.8
2023,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,10183.3,102.01049826698454
2024,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,10398.4,102.11228187326309
2025,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,10614.691,102.0800411601785
2026,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,10837.599511,102.1
2027,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,11076.026700242,102.2
2028,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,11319.699287647325,102.2
2029,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,11568.732671975566,102.2
2030,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,11823.244790759029,102.2
2031,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,12083.356176155727,102.2
2032,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,12349.190012031153,102.3
2033,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,12633.22138230787,102.4
2034,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,12936.418695483258,102.3
2035,Шумораи ањолї (ба њисоби миёнаи солона),Њазор нафар,13233.956325479374,102.3
2022,Маљмўи мањсулоти дохилї,млн. сомонї,118181.70000000001,108.03592118033602
2023,Маљмўи мањсулоти дохилї,млн. сомонї,132781.90000000002,108.31976837361451
2024,Маљмўи мањсулоти дохилї,млн. сомонї,155783.9,108.4291832644482
2025,Маљмўи мањсулоти дохилї,млн. сомонї,176919,108.43562605134716
2026,Маљмўи мањсулоти дохилї,млн. сомонї,199898.1373681862,108.4943315698956
2027,Маљмўи мањсулоти дохилї,млн. сомонї,225457.20835606457,108.43204362986133
2028,Маљмўи мањсулоти дохилї,млн. сомонї,254610.4097119382,108.5884711213525
2029,Маљмўи мањсулоти дохилї,млн. сомонї,290955.27502497676,108.78200675581428
2030,Маљмўи мањсулоти дохилї,млн. сомонї,325987.59758401546,108.04843594512415
2031,Маљмўи мањсулоти дохилї,млн. сомонї,368330.8046877212,108.54825631851573
2032,Маљмўи мањсулоти дохилї,млн. сомонї,413970.29228411877,108.06837462699862
2033,Маљмўи мањсулоти дохилї,млн. сомонї,460417.1837588718,108.10104640261854
2034,Маљмўи мањсулоти дохилї,млн. сомонї,511101.7351686334,108.24890917885453
2035,Маљмўи мањсулоти дохилї,млн. сомонї,568732.0579310552,108.60848412660823
2022,Индекс-дефлятори ММД,бо фоиз,,108.22627671327531
2023,Индекс-дефлятори ММД,бо фоиз,,103.72439807211711
2024,Индекс-дефлятори ММД,бо фоиз,,108.20255272739531
2025,Индекс-дефлятори ММД,бо фоиз,,106.4321243436517
2026,Индекс-дефлятори ММД,бо фоиз,,104.1423139284166
2027,Индекс-дефлятори ММД,бо фоиз,,104.11542184451834
2028,Индекс-дефлятори ММД,бо фоиз,,103.99879613927943
2029,Индекс-дефлятори ММД,бо фоиз,,105.14926386330478
2030,Индекс-дефлятори ММД,бо фоиз,,103.9946517394631
2031,Индекс-дефлятори ММД,бо фоиз,,104.0912234170238
2032,Индекс-дефлятори ММД,бо фоиз,,103.99980249987213
2033,Индекс-дефлятори ММД,бо фоиз,,102.88509198118591
2034,Индекс-дефлятори ММД,бо фоиз,,102.54920611630706
2035,Индекс-дефлятори ММД,бо фоиз,,102.45581242644181
2022,Таваррум,бо фоиз,,104.2
2023,Таваррум,бо фоиз,,103.8
2024,Таваррум,бо фоиз,,103.6
2025,Таваррум,бо фоиз,,103.5
2026,Таваррум,бо фоиз,,103.9340651277351
2027,Таваррум,бо фоиз,,104.0327205752226
2028,Таваррум,бо фоиз,,103.79573354705161
2029,Таваррум,бо фоиз,,103.90476385361526
2030,Таваррум,бо фоиз,,104.0610370987884
2031,Таваррум,бо фоиз,,104.42699610043036
2032,Таваррум,бо фоиз,,104.43908669485012
2033,Таваррум,бо фоиз,,104.16683736568076
2034,Таваррум,бо фоиз,,103.79412840036173
2035,Таваррум,бо фоиз,,104.06564674917327
2022,ММД ба њар нафар ањолї,сомонї,11838.769458858413,114.80575503159827
2023,ММД ба њар нафар ањолї,сомонї,13039.181797649097,110.13967155085082
2024,ММД ба њар нафар ањолї,сомонї,14981.526004000616,114.89621232753817
2025,ММД ба њар нафар ањолї,сомонї,16667.37166442245,111.25283005196968
2026,ММД ба њар нафар ањолї,сомонї,18444.872147682945,110.66455179045825
2027,ММД ба њар нафар ањолї,сомонї,20355.42297411928,110.35816790238006
2028,ММД ба њар нафар ањолї,сомонї,22492.683174877533,110.49970911179616
2029,ММД ба њар нафар ањолї,сомонї,25150.142481016548,111.81477232163736
2030,ММД ба њар нафар ањолї,сомонї,27571.754061863394,109.62861972919116
2031,ММД ба њар нафар ањолї,сомонї,30482.491728130473,110.55695499000966
2032,ММД ба њар нафар ањолї,сомонї,33522.06030361584,109.97152267798481
2033,ММД ба њар нафар ањолї,сомонї,36444.95491891409,108.7193167389624
2034,ММД ба њар нафар ањолї,сомонї,39508.750234489875,108.40663768796637
2035,ММД ба њар нафар ањолї,сомонї,42975.21043167369,108.7739049618373
2022,Њаљми мањсулоти саноатї,млн. сомонї,42221.4,115.4
2023,Њаљми мањсулоти саноатї,млн. сомонї,46816,112
2024,Њаљми мањсулоти саноатї,млн. сомонї,53818.99999999999,120
2025,Њаљми мањсулоти саноатї,млн. сомонї,66726.1,122.1
2026,Њаљми мањсулоти саноатї,млн. сомонї,83491.03230614094,125.02096627281625
2027,Њаљми мањсулоти саноатї,млн. сомонї,104885.64945832182,125.00010346903679
2028,Њаљми мањсулоти саноатї,млн. сомонї,131605.53347201648,125.10772131494927
2029,Њаљми мањсулоти саноатї,млн. сомонї,164803.1608958661,125.07379530741514
2030,Њаљми мањсулоти саноатї,млн. сомонї,167867.77460593067,119.95581243415236
2031,Њаљми мањсулоти саноатї,млн. сомонї,171881.2545664156,119.92602525044774
2032,Њаљми мањсулоти саноатї,млн. сомонї,172762.8500399797,120.07027383022358
2033,Њаљми мањсулоти саноатї,млн. сомонї,196491.13487940727,111.30175408111008
2034,Њаљми мањсулоти саноатї,млн. сомонї,216673.07420805254,109.17266964720974
2035,Њаљми мањсулоти саноатї,млн. сомонї,241220.43643245698,122.33960441142446
2022,-саноати истихроҷи маъдан,млн. сомонї,8890.9,97.7
2023,-саноати истихроҷи маъдан,млн. сомонї,9373,111.7
2024,-саноати истихроҷи маъдан,млн. сомонї,13363.1,143
2025,-саноати истихроҷи маъдан,млн. сомонї,20000.2,136.2
2026,-саноати истихроҷи маъдан,млн. сомонї,26754.531741408595,121.23928485715143
2027,-саноати истихроҷи маъдан,млн. сомонї,29788.98137521019,127.31864585181219
2028,-саноати истихроҷи маъдан,млн. сомонї,40744.2617425675,157.14609258494852
2029,-саноати истихроҷи маъдан,млн. сомонї,48047.33451755567,118.05098737819198
2030,-саноати истихроҷи маъдан,млн. сомонї,51160.5183389241,77.1175700470606
2031,-саноати истихроҷи маъдан,млн. сомонї,37883.05405021305,72.07254638640563
2032,-саноати истихроҷи маъдан,млн. сомонї,26182.762309147718,67.98626537018633
2033,-саноати истихроҷи маъдан,млн. сомонї,30415.986988575227,117.51327175308901
2034,-саноати истихроҷи маъдан,млн. сомонї,36342.37666614335,119.45571309683619
2035,-саноати истихроҷи маъдан,млн. сомонї,43559.3058322371,119.8637006731132
2022,-саноати коркард,млн. сомонї,25708.7,116.4
2023,-саноати коркард,млн. сомонї,28459.8,112.4
2024,-саноати коркард,млн. сомонї,30275.6,107.6
2025,-саноати коркард,млн. сомонї,34595.4,110.5
2026,-саноати коркард,млн. сомонї,43621.3200679664,132.91232080012878
2027,-саноати коркард,млн. сомонї,60339.77149234491,127.14443299873152
2028,-саноати коркард,млн. сомонї,73035.0044453598,110.19672560929948
2029,-саноати коркард,млн. сомонї,95177.14810210072,129.9149432020982
2030,-саноати коркард,млн. сомонї,93137.60042020684,143.9584800044311
2031,-саноати коркард,млн. сомонї,108597.03876551773,149.2178869358873
2032,-саноати коркард,млн. сомонї,119233.47531193127,141.07613629143407
2033,-саноати коркард,млн. сомонї,136686.9263727902,110.79750474273503
2034,-саноати коркард,млн. сомонї,148738.68210948393,107.236115089152
2035,-саноати коркард,млн. сомонї,163710.01507056947,126.0313667378719
2022,"-таъминоти нерўи барќ, газ, буѓ ва тозакунии њаво",млн. сомонї,7621.8,117.5
2023,"-таъминоти нерўи барќ, газ, буѓ ва тозакунии њаво",млн. сомонї,8983.2,107.1
2024,"-таъминоти нерўи барќ, газ, буѓ ва тозакунии њаво",млн. сомонї,10180.300000000001,105.7
2025,"-таъминоти нерўи барќ, газ, буѓ ва тозакунии њаво",млн. сомонї,12130.5,113
2026,"-таъминоти нерўи барќ, газ, буѓ ва тозакунии њаво",млн. сомонї,13115.180496765961,110.22722005796955
2027,"-таъминоти нерўи барќ, газ, буѓ ва тозакунии њаво",млн. сомонї,14756.89659076672,112.76928853806145
2028,"-таъминоти нерўи барќ, газ, буѓ ва тозакунии њаво",млн. сомонї,17826.267284089194,121.29668523878343
2029,"-таъминоти нерўи барќ, газ, буѓ ва тозакунии њаво",млн. сомонї,21578.678276209706,121.19792219999404
2030,"-таъминоти нерўи барќ, газ, буѓ ва тозакунии њаво",млн. сомонї,23569.65584679971,109.22659648151406
2031,"-таъминоти нерўи барќ, газ, буѓ ва тозакунии њаво",млн. сомонї,25401.1617506848,107.77060944712001
2032,"-таъминоти нерўи барќ, газ, буѓ ва тозакунии њаво",млн. сомонї,27346.61241890071,107.65890429465676
2033,"-таъминоти нерўи барќ, газ, буѓ ва тозакунии њаво",млн. сомонї,29388.221518041835,107.46567460666559
2034,"-таъминоти нерўи барќ, газ, буѓ ва тозакунии њаво",млн. сомонї,31592.01543242525,107.4989019428429
2035,"-таъминоти нерўи барќ, газ, буѓ ва тозакунии њаво",млн. сомонї,33951.1155296504,107.4673934693126
2022,Њаљми мањсулоти кишоварзї,млн. сомонї,61337.9,108
2023,Њаљми мањсулоти кишоварзї,млн. сомонї,66907.2,109
2024,Њаљми мањсулоти кишоварзї,млн. сомонї,73976.6,110.6
2025,Њаљми мањсулоти кишоварзї,млн. сомонї,84653.8,109.5
2026,Њаљми мањсулоти кишоварзї,млн. сомонї,95155.3649055747,108.91987241566737
2027,Њаљми мањсулоти кишоварзї,млн. сомонї,104591.33871634123,108.61303019155473
2028,Њаљми мањсулоти кишоварзї,млн. сомонї,114715.98328108198,108.27264962165613
2029,Њаљми мањсулоти кишоварзї,млн. сомонї,125434.66879246393,108.15397849978116
2030,Њаљми мањсулоти кишоварзї,млн. сомонї,136949.66205418564,108.3135637717354
2031,Њаљми мањсулоти кишоварзї,млн. сомонї,148095.74720289503,107.60081494935515
2032,Њаљми мањсулоти кишоварзї,млн. сомонї,159589.22939203866,107.54575403019618
2033,Њаљми мањсулоти кишоварзї,млн. сомонї,172013.1801808544,107.248712126007
2034,Њаљми мањсулоти кишоварзї,млн. сомонї,184982.76954834524,107.00485687696262
2035,Њаљми мањсулоти кишоварзї,млн. сомонї,199395.93071211304,107.25534688487758
2022,-растанипарварӣ,млн. сомонї,42115,107.7
2023,-растанипарварӣ,млн. сомонї,44976.1,106.8
2024,-растанипарварӣ,млн. сомонї,50984.9,113.4
2025,-растанипарварӣ,млн. сомонї,56588,109.9
2026,-растанипарварӣ,млн. сомонї,61242.1782634497,107.2593394857495
2027,-растанипарварӣ,млн. сомонї,66836.04393007637,106.99412581783922
2028,-растанипарварӣ,млн. сомонї,72556.83750482455,108.34275821834399
2029,-растанипарварӣ,млн. сомонї,78788.34722239131,107.51331957024452
2030,-растанипарварӣ,млн. сомонї,85058.31978199996,107.42089032886649
2031,-растанипарварӣ,млн. сомонї,90393.17158246602,105.74327654417797
2032,-растанипарварӣ,млн. сомонї,95752.60234039437,105.61218514399904
2033,-растанипарварӣ,млн. сомонї,100785.75325530593,104.94158685842078
2034,-растанипарварӣ,млн. сомонї,105499.67246285305,104.4682317426262
2035,-растанипарварӣ,млн. сомонї,109860.01776743868,101.29673303136077
2022,-чорводорӣ,млн. сомонї,19222.9,108.7
2023,-чорводорӣ,млн. сомонї,21931.1,114.1
2024,-чорводорӣ,млн. сомонї,22991.7,104.8
2025,-чорводорӣ,млн. сомонї,28065.8,108.5
2026,-чорводорӣ,млн. сомонї,33724.206642125,107.4085
2027,-чорводорӣ,млн. сомонї,37549.306586264844,106.622
2028,-чорводорӣ,млн. сомонї,41934.82462645743,104.4435
2029,-чорводорӣ,млн. сомонї,46401.58719564081,103.5132
2030,-чорводорӣ,млн. сомонї,51624.55733061759,105.0056
2031,-чорводорӣ,млн. сомонї,57411.24646423663,105.4467
2032,-чорводорӣ,млн. сомонї,63518.786942238425,105.897
