year,var_name,description,value
2016,,Экспорт,-12.5
2017,,Экспорт,319.5
2018,,Экспорт,-134.5
2019,,Экспорт,101.25
2020,,Экспорт,128.6500000000001
2021,,Экспорт,751
2022,,Экспорт,-17
2023,,Экспорт,-174.42200000000003
2024,,Экспорт,37.172000000000025
2025,,Экспорт,431.14699999999993
2026,,Экспорт,196.1690644385394
2027,,Экспорт,170.7055958758201
2028,,Экспорт,135.26260830459023
2029,,Экспорт,169.9368317940507
2030,,Экспорт,161.44987525821261
2031,,Экспорт,-249.81056701687066
2032,,Экспорт,158.79306135583056
2033,,Экспорт,286.1005503923702
2034,,Экспорт,308.0906327739485
2035,,Экспорт,367.91212308461945
2000,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),901.5265
2001,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),713.7707
2002,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),768.1372
2003,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),994.7247
2004,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),1219.8417
2005,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),1254.4346000000003
2006,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),1589.6258
2007,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),1705.5683000000001
2008,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),1686.3090000000002
2009,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),600.1479999999999
2010,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),791.2473299999999
2011,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),1821.8
2012,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),1847.3000000000002
2013,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),1306.77
2014,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),1229.7
2015,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),1143
2016,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),1130.5
2017,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),1450
2018,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),1315.5
2019,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),1416.75
2020,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),1545.4
2021,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),2296.4
2022,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),2279.4
2023,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),2104.978
2024,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),2142.15
2025,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),2573.297
2026,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),2769.4660644385394
2027,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),2940.1716603143595
2028,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),3075.43426861895
2029,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),3245.3711004130005
2030,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),3406.820975671213
2031,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),3157.0104086543424
2032,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),3315.803470010173
2033,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),3601.904020402543
2034,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),3909.9946531764917
2035,EXUSt,Экспорт ТОВАРОВ И УСЛУГ (млн. долл.),4277.906776261111
2000,"EXUSServ,t","Экспорт услуг, млн.долл.",62.6
2001,"EXUSServ,t","Экспорт услуг, млн.долл.",62.2
2002,"EXUSServ,t","Экспорт услуг, млн.долл.",68.9892
2003,"EXUSServ,t","Экспорт услуг, млн.долл.",88.5265
2004,"EXUSServ,t","Экспорт услуг, млн.долл.",122.907
2005,"EXUSServ,t","Экспорт услуг, млн.долл.",146.342
2006,"EXUSServ,t","Экспорт услуг, млн.долл.",134.215
2007,"EXUSServ,t","Экспорт услуг, млн.долл.",148.692
2008,"EXUSServ,t","Экспорт услуг, млн.долл.",181.409
2009,"EXUSServ,t","Экспорт услуг, млн.долл.",179.748
2010,"EXUSServ,t","Экспорт услуг, млн.долл.",333.74733
2011,"EXUSServ,t","Экспорт услуг, млн.долл.",564.5
2012,"EXUSServ,t","Экспорт услуг, млн.долл.",487.6
2013,"EXUSServ,t","Экспорт услуг, млн.долл.",363.37
2014,"EXUSServ,t","Экспорт услуг, млн.долл.",252.4
2015,"EXUSServ,t","Экспорт услуг, млн.долл.",252.4
2016,"EXUSServ,t","Экспорт услуг, млн.долл.",231.8
2017,"EXUSServ,t","Экспорт услуг, млн.долл.",252
2018,"EXUSServ,t","Экспорт услуг, млн.долл.",242.2
2019,"EXUSServ,t","Экспорт услуг, млн.долл.",242.35
2020,"EXUSServ,t","Экспорт услуг, млн.долл.",138.5
2021,"EXUSServ,t","Экспорт услуг, млн.долл.",146.8
2022,"EXUSServ,t","Экспорт услуг, млн.долл.",137.4
2023,"EXUSServ,t","Экспорт услуг, млн.долл.",243.5
2024,"EXUSServ,t","Экспорт услуг, млн.долл.",194.65
2025,"EXUSServ,t","Экспорт услуг, млн.долл.",85.397
2026,"EXUSServ,t","Экспорт услуг, млн.долл.",96.6809335689542
2027,"EXUSServ,t","Экспорт услуг, млн.долл.",99.7130200320792
