year,var_name,description,value
2000,"GDPmp,t",GDP,0
2001,"GDPmp,t",GDP,0
2002,"GDPmp,t",GDP,0
2003,"GDPmp,t",GDP,4761.5
2004,"GDPmp,t",GDP,6167.2
2005,"GDPmp,t",GDP,7206.599999999999
2006,"GDPmp,t",GDP,9335.300000000001
2007,"GDPmp,t",GDP,12804.3
2008,"GDPmp,t",GDP,17706.9
2009,"GDPmp,t",GDP,20629
2010,"GDPmp,t",GDP,24932.9
2011,"GDPmp,t",GDP,30071.1
2012,"GDPmp,t",GDP,36163.1
2013,"GDPmp,t",GDP,40525.2
2014,"GDPmp,t",GDP,45606.6
2015,"GDPmp,t",GDP,50977.399999999994
2016,"GDPmp,t",GDP,54790.299999999996
2017,"GDPmp,t",GDP,64434.3
2018,"GDPmp,t",GDP,71059.2
2019,"GDPmp,t",GDP,79109.79999999999
2020,"GDPmp,t",GDP,83958.3
2021,"GDPmp,t",GDP,101076.30000000002
2022,"GDPmp,t",GDP,118181.70000000001
2023,"GDPmp,t",GDP,132781.90000000002
2024,"GDPmp,t",GDP,155783.9
2025,"GDPmp,t",GDP,176919
2026,"GDPmp,t",GDP,199898.1373681862
2027,"GDPmp,t",GDP,225457.20835606457
2028,"GDPmp,t",GDP,254610.4097119382
2029,"GDPmp,t",GDP,290955.27502497676
2030,"GDPmp,t",GDP,325987.59758401546
2031,"GDPmp,t",GDP,368330.8046877212
2032,"GDPmp,t",GDP,413970.29228411877
2033,"GDPmp,t",GDP,460417.1837588718
2034,"GDPmp,t",GDP,511101.7351686334
2035,"GDPmp,t",GDP,568732.0579310552
2005,"ImNA,t",Import of Goods and services,5243.50777534
2006,"ImNA,t",Import of Goods and services,7819.76557936
2007,"ImNA,t",Import of Goods and services,12761.634948750001
2008,"ImNA,t",Import of Goods and services,14004.9
2009,"ImNA,t",Import of Goods and services,12686.7
2010,"ImNA,t",Import of Goods and services,14577.7
2011,"ImNA,t",Import of Goods and services,22286.1
2012,"ImNA,t",Import of Goods and services,25114
2013,"ImNA,t",Import of Goods and services,26051.9
2014,"ImNA,t",Import of Goods and services,26676.2
2015,"ImNA,t",Import of Goods and services,20460
2016,"ImNA,t",Import of Goods and services,23299.3
2017,"ImNA,t",Import of Goods and services,25037.6
2018,"ImNA,t",Import of Goods and services,29468.7
2019,"ImNA,t",Import of Goods and services,32486.5
2020,"ImNA,t",Import of Goods and services,32260.8
2021,"ImNA,t",Import of Goods and services,48156.8
2022,"ImNA,t",Import of Goods and services,58006.4
2023,"ImNA,t",Import of Goods and services,64323.5
2024,"ImNA,t",Import of Goods and services,74585.1
2025,"ImNA,t",Import of Goods and services,87535.95370510001
2026,"ImNA,t",Import of Goods and services,80656.40268331204
2027,"ImNA,t",Import of Goods and services,85329.10075696882
2028,"ImNA,t",Import of Goods and services,90451.62323880519
2029,"ImNA,t",Import of Goods and services,97325.40368097513
2030,"ImNA,t",Import of Goods and services,104932.07627590917
2031,"ImNA,t",Import of Goods and services,116533.95700262485
2032,"ImNA,t",Import of Goods and services,128335.67871648754
2033,"ImNA,t",Import of Goods and services,129767.63891000372
2034,"ImNA,t",Import of Goods and services,135718.05444469416
2035,"ImNA,t",Import of Goods and services,172775.63758438913
2005,"ExNA,t",Export of Goods and Services,3909.5708743600007
2006,"ExNA,t",Export of Goods and Services,5243.22173872
2007,"ExNA,t",Export of Goods and Services,5871.41887275
2008,"ExNA,t",Export of Goods and Services,5782.4
2009,"ExNA,t",Export of Goods and Services,5048
2010,"ExNA,t",Export of Goods and Services,6620.7
2011,"ExNA,t",Export of Goods and Services,5335
2012,"ExNA,t",Export of Goods and Services,7829.5
2013,"ExNA,t",Export of Goods and Services,7582.6
2014,"ExNA,t",Export of Goods and Services,5143.4
2015,"ExNA,t",Export of Goods and Services,4997.2
2016,"ExNA,t",Export of Goods and Services,7232.5
