year,defgdpt,gdp2009mpt,gdpmpt,gdppcust,ggdpt,в_тч_натуральное,в_тч_рыночный,в_тч_трансферты_населению_в_натуральной_форме,валовая_прибыль_и_смешанные_доходы,валовое_накопление,валовое_накопление_основного_капитала,ввп_в_основных_ценах,ввп_в_рыночных_ценах,ввп_в_рыночных_ценах_2009_года,ввп_в_рыночных_ценах_млн_сомони,ввп_на_душу_населения_в_сомони,ввп_по_доходам_без_трансфертов,ввп_по_использованию,внутренний_спрос,государства,заработной_платы_полученной_за_границей_и_выплаченной_нерезидентам,изменение_запасов,импорт_товаров_и_услуг,инвестиции_в_ок_ввп,ипц_в_том_числе_декдек_факт,конечное_потребление,конечное_потребление_государства,конечное_потребление_населения,налоги_на_производства_и_импорт,населения,оплата_труда_наемных_работников,потребление_государства_ввп,потребление_домохозяйств_ввп,промышленность,прочие_товары,прочие_услуги_остатком,розничная_и_оптовая_торговля,сельское_хозяйство_и_рыболовство,статистическое_расхождение,субсидии_на_производство_и_импорт,товары,транспорт_и_связь,услуги,чистые_косвенные_налоги,чистый_экспорт_товаров_и_услуг,экспорт_товаров_и_услуг,constrt,defconstrt,gconstrt,gtranc_t,gtranpt,invt,proxytranindt,trancm_t,trancother_t,tranct,tranpm_t,tranpother_t,tranpt,за_счет_бюджета,инвестиции_в_ок,иностранные_инвестиции,совместные,соотношение_строительствоинвестиции_в_ок,частные
1997,165.22998809540883,8495.69192737278,518.4,147.60888816569724,101.7,1981.5317179999993,2191.3,768.1,333.9607,475.6,382.6,468.59999999999997,101.7,10046.952285680498,518.4,3285.8,518.3524,4761.5,113.39004724082518,580.1,594.3,93,-3512.58033199,0.0803528299905492,160.62781434678166,4752.931718,133.528995228832,107.75619762862291,67.1193,4172.8317179999995,118.83020000000002,0.12183135566523155,0.8763691521579333,114,5.999999999999982,44.69999999999995,108.6,165.9,4079,1.5578,300.2,15.1,168.39999999999998,49.8,-8222.5,3045.54861399,38,107.13448177829483,116.4,31.5512708150745,105.0632911392405,67.5,100,22.8,13.2,36,93.6,30.9,124.5,47.6,0.7794871794871794,29.1,3.4,0.34990791896869244,27.3
1998,187.8084954216642,8945.963599523537,1025.2,147.60888816569724,105.3,1981.5317179999993,2191.3,768.1,648.5297,475.6,382.6,947.4000000000001,105.3,10046.952285680498,1025.2,3285.8,1025.2113,4761.5,113.39004724082518,580.1,594.3,93,-3512.58033199,0.0803528299905492,160.62781434678166,4752.931718,133.528995228832,107.75619762862291,102.3949,4172.8317179999995,275.4797999999999,0.12183135566523155,0.8763691521579333,206.1,10.200000000000074,159.70000000000005,231.8,257.4,4079,1.1931,513.2,42.7,434.20000000000005,77.8,-8222.5,3045.54861399,38,107.13448177829483,116.4,96.11111111111111,139.83935742971886,68.3,100,21.900000000000002,12.7,34.6,140.8,33.3,174.1,46.3,0.7794871794871794,29.1,3.9,0.34990791896869244,27.3
1999,126.51293479532744,9276.964252705908,1345,147.60888816569724,103.7,1981.5317179999993,2191.3,768.1,855.547,475.6,382.6,1247,103.7,10046.952285680498,1345,3285.8,1344.9531,4761.5,113.39004724082518,580.1,594.3,93,-3512.58033199,0.0803528299905492,160.62781434678166,4752.931718,133.528995228832,107.75619762862291,135.1309,4172.8317179999995,362.3130999999999,0.12183135566523155,0.8763691521579333,291.6,4.7999999999999545,167.20000000000005,270,341.4,4079,8.0379,710.8,99,536.2,98,-8222.5,3045.54861399,38,107.13448177829483,116.4,80.05780346820809,107.75416427340609,122.5,100,16.1,11.6,27.7,145.8,41.8,187.6,95.2,0.7794871794871794,29.1,6.3,0.34990791896869244,27.3
2000,122.66628221894985,10046.952285680498,1786.8,147.60888816569724,108.3,1981.5317179999993,2191.3,768.1,1156.3854,475.6,382.6,1637.1,108.3,10046.952285680498,1786.8,3285.8,1806.767,4761.5,113.39004724082518,580.1,594.3,93,-3512.58033199,0.0803528299905492,160.62781434678166,4752.931718,133.528995228832,107.75619762862291,223.0808,4172.8317179999995,431.79430000000013,0.12183135566523155,0.8763691521579333,592.3,5.899999999999977,273.1999999999998,193.9,448.9,4079,4.4935,1085.1,85,552,149.7,-8222.5,3045.54861399,38,107.13448177829483,116.4,99.91444043321299,80.7036247334755,108.6,100,14.576299999999998,13.1,27.676299999999998,122.80000000000001,28.6,151.4,47.3,0.7794871794871794,29.1,4.9,0.34990791896869244,27.3
2001,130.91748246263353,11011.459705105824,2563.8,170.46641481383818,109.6,1981.5317179999993,2191.3,768.1,1658.1,475.6,382.6,1221.5506963533078,120.25874123131676,11011.459705105824,2563.8,3285.8,2564.1,4761.5,113.39004724082518,580.1,594.3,93,-3512.58033199,0.0803528299905492,112.4790501176303,4752.931718,133.528995228832,107.75619762862291,311.7,4172.8317179999995,1194.7,0.12183135566523155,0.8763691521579333,858,7.499999999999929,385.5999999999999,274.9,610.4,4079,6.1,2469.060150089874,127.6,1635.3683205414698,513.0981928241503,-8222.5,3045.54861399,69.7,107.13448177829483,116.4,108.44187987556143,113.34214002642007,194.8,100,17.295900000000003,12.7168,30.012700000000002,147.1,24.5,171.6,100.5,0.7794871794871794,35.6,9.8,0.3578028747433265,48.9
2002,118.81970664596184,12200.697353257252,3375.3,187.4138966028126,110.8,1981.5317179999993,2191.3,768.1,2252.1,475.6,382.6,1576.6149410756375,114.80985332298093,12200.697353257252,3375.3,3285.8,3391.9000000000005,4761.5,113.39004724082518,580.1,710.7,93,-3512.58033199,0.0803528299905492,114.50566951061211,4752.931718,133.528995228832,107.75619762862291,436.9,4172.8317179999995,1405.7,0.12183135566523155,0.8763691521579333,1117.2,13.399999999999949,512.1999999999998,394.7,750.5,4079,7.9,2814.19676659976,185.7,1875.4145559033666,595.0253129107333,-8222.5,3045.54861399,68.9,107.13448177829483,116.4,118.62444898326375,131.64335664335664,206.9,100,23.802400000000002,11.8,35.6024,203.70000000000002,22.2,225.9,117.2,0.7794871794871794,28.1,42.3,0.333011116481392,19.3
2003,126.97474529250097,13554.974759468805,4761.5,234.21412074794262,111.1,1981.5317179999993,2191.3,768.1,3448.6,475.6,382.6,2182.066598192276,119.03737264625047,13554.974759468805,4761.5,3285.8,4780.299999999999,4761.5,113.39004724082518,580.1,1251.3,93,-3512.58033199,0.0803528299905492,113.6526454751114,4752.931718,133.528995228832,107.75619762862291,660.4,4172.8317179999995,1913.2,0.12183135566523155,0.8763691521579333,1440.2,14.499999999999687,706.1000000000004,544.1,1151.9,4079,9.4,3323.3910614253996,260.2,2164.948373938844,706.7641918137773,-8222.5,3045.54861399,136.6,107.13448177829483,116.4,92.4785969485203,117.52988047808766,318.4,100,21.2003,11.7243,32.9246,243.5,22,265.5,180.2,0.7794871794871794,51.2,39,0.4290201005025126,48
2004,117.42720706056025,14951.137159694093,6167.2,306.1754078474675,110.3,2345.70187784,3010.9,768.1,4514.6,752.6,640,6297.067872484302,113.86360353028013,14951.137159694093,6167.2,3285.8,6192.1,6167.2,113.39004724082518,726.8,1975.4,112.60000000000002,-4292.829584370001,0.10377480866519653,105.62006340585056,6083.40187784,133.528995228832,107.75619762862291,833.1,5356.60187784,2807.5,0.1178492670904138,0.8685630233882475,1912.8134776978025,24.19999999999999,3326.033028637001,1724.0059715783534,2812.1119633669514,4079,12.3,3571.4644210142783,386.94237153970346,2763.648898320557,818.5639195799595,-8222.5,3624.0277065299997,262.3,107.13448177829483,116.4,108.52736251921056,128.28625235404897,592,118.04233118840109,23.459799999999998,12.272400000000001,35.7322,317.40000000000003,23.2,340.6,349,0.7794871794871794,104.7,58.6,0.44307432432432436,79.7
2005,109.51609889389134,15952.863349393598,7206.599999999999,334.151378095071,106.7,1535.318450489999,1896.1540602732414,768.1,5251,839.4,801.3,4172.0086260361695,105.40767899280831,15952.863349393598,7206.599999999999,3285.8,7241.6,7206.599999999999,113.39004724082518,1052.3,2134.6,38.10000000000002,-5243.50777534,0.11118974273582549,106.89378796987587,7701.136900979998,133.528995228832,107.75619762862291,960.1,6648.836900979998,3148.1,0.14601892709460773,0.9226038493852855,816.0233578206719,51.88841207428572,1380.5376810621954,814.2869939461673,1299.9042967864125,4079,17,2341.775290358056,249.07024970782103,1873.5299826141145,570.1079005066865,-8222.5,3909.5708743600007,327.1,107.13448177829483,116.4,108.00790323573695,116.97005284791541,682.5,137.16424690156148,26.4757,12.117899999999995,38.593599999999995,380.7,17.7,398.4,319.2,0.7794871794871794,151.1,68.3,0.4792673992673993,143.9
2006,121.06373933966556,17069.56378385115,9335.300000000001,400.65841319405627,107,2446.1219203200008,2353.737452781079,662.5,6868.4,827.2360907842937,1445.3,4749.636764329831,109.3560080503601,17069.56378385115,9335.300000000001,3285.8,9395.199999999999,9335.300000000001,113.39004724082518,1036.6,3494.6,45.200000000000045,-3840.0827896799997,0.15482094844300662,111.9,10421.343840640002,86.3821139196248,107.71047666461055,1228.7,9384.743840640002,4768.4,0.11104088781292511,1.0052964383190686,911.8940774573827,55.136085323510564,1401.9231107505896,985.3865032005272,1434.9717147168196,4079,24.3,2639.025939403329,293.0976756810336,2156.2721959340233,643.1794983411665,-8222.5,2687.21086936,567.5,161.84173902727267,107.2,102.45481116039966,104.26706827309238,1214.5,141.2394408590105,25.6036,13.937399999999997,39.541,391.4,24,415.4,214.82246240601503,0.7794871794871794,220.85532759761747,57.943338213762814,0.4672704816797036,115.39986101459345
