Категория;Отрасль;Таджикский;Русский (черновик);Исправление;Таблицы
заголовок;Демография и труд;Дурнамои нишондиҳандаҳои соҳаи шуғл барои солҳои 2027-2029;Прогноз показателей сферы занятости на 2027-2029 годы;;Ҷадвали 27
заголовок;Демография и труд;Дурнамои нишондиҳандаҳои соҳаи меҳнат барои солҳои 2027-2029;Прогноз показателей сферы труда на 2027-2029 годы;;Ҷадвали 25
заголовок;Демография и труд;). Дурнамои иншоотҳои сохташаванда (ҳамагӣ) барои солҳои 2027-2029 (Аз ҳисоби маблағҳои аҳолӣ);Прогноз строительных работ (всего) на 2027-2029 годы (за счет средств населения);;Ҷадвали 14А
заголовок;Макроэкономика (сводная);Дурнамои нишондиҳандаҳои асосии макроиқтисодии Ҷумҳурии Тоҷикистон барои солҳои 2027-2029;Прогноз показателей основной макроэкономики Республики Таджикистан на 2027-2029 годы;;Ҷадвали 1
заголовок;Промышленность;Дурнамои таъсиси корхонаҳои нави истеҳсолии саноатӣ дар солҳои 2027-2029;Перспектива создания новых промышленных предприятий в 2027-2029 годах;;Ҷадвали 5
заголовок;Промышленность;Дурнамои нишондиҳандаҳои рушди ҳаҷми истеҳсоли намудҳои асосии маҳсулоти саноатӣ барои солҳои 2027-2029;Прогноз показателей объема производства основных видов промышленной продукции на 2027-2029 годы;;Ҷадвали 4
заголовок;Промышленность;Дурнамои нишондиҳандаҳои зерсоҳаҳои саноат аз рӯи минтақаҳо барои солҳои 2027-2029;прогноз показателей подотраслей промышленности по регионам на 2027-2029 годы;;Ҷадвали 3
заголовок;Промышленность;Дурнамои нишондиҳандаҳои рушди ҳаҷми истеҳсоли маҳсулоти соҳаҳои саноатии Ҷумҳурии Тоҷикистон барои солҳои 2027-2029;Прогноз показателей роста объема производства продукции отраслей промышленности Республики Таджикистан на 2027-2029 годы;;Ҷадвали 2
заголовок;Прочее;Нишондиҳандаҳои дурнамои рушди бозори истеъмолӣ барои солҳои 2027-2029;Показатели прогноза развития потребительского рынка на 2027-2029 годы;;Ҷадвали 17
заголовок;Прочее;Нишондиҳандаҳои дурнамои рушди истеҳсол дар минтақаҳои озоди иқтисодӣ (МОИ) барои солҳои 2027-2029;Показатели прогноза развития производства в свободных экономических зонах (ОАО) на 2027-2029 годы;;Ҷадвали 37
заголовок;Прочее;Нишондиҳандаҳои дурнамои рушди минтақаҳои озоди иқтисодӣ (МОИ) барои солҳои 2027-2029;Показатели прогноза развития свободных экономических зон (СЭЗ) на 2027-2029 годы;;Ҷадвали 36
заголовок;Прочее;Дурнамои нишондиҳандаҳои соҳаи ҳифзи муҳити зист барои солҳои 2027-2029;Прогноз показателей в сфере охраны окружающей среды на 2027-2029 годы;;Ҷадвали 9
