Приоритет;Причина;Категория;Таджикский;Русский (черновик);Исправление;Таблицы
0;★ стиль: «основных макроэкономических показателей»;заголовок;Дурнамои нишондиҳандаҳои асосии макроиқтисодии Ҷумҳурии Тоҷикистон барои солҳои 2027-2029;Прогноз показателей основной макроэкономики Республики Таджикистан на 2027-2029 годы;;Ҷадвали 1
0;★ калоба = ПРЯЖА (не «ткани»);показатель;Калобаи пахтагин;Хлопчатобумажные ткани;;Ҷадвали 4, Ҷадвали 19
0;★ чигит = хлопковые СЕМЕНА (не «нити»);показатель;Чигити пахта;Хлопковые нити;;Ҷадвали 4
0;"★ осталось «НБО» — нужно ГЭС; непереведённая аббревиатура";показатель;ҷСК НБО «Сангтӯда-1» млн. кВт/с;ОАО НБО «Сангтуда-1» млн кВт·ч;;Ҷадвали 6
2;остался таджикский текст;показатель;МОИ «Данғара»;ОАО «Данғара»;;Ҷадвали 38, Ҷадвали 39
2;остался таджикский текст;показатель;МОИ «Панљ»;ОАО «Панҷ»;;Ҷадвали 37
2;остался таджикский текст;показатель;МОИ «Панҷ»;ОАО «Панҷ»;;Ҷадвали 38
2;остался таджикский текст;показатель;МОИ«Данғара»;ОАО «Данғара»;;Ҷадвали 36, Ҷадвали 37
2;остался таджикский текст;показатель;МОИ«Кӯлоб»;ОАО «Кӯлоб»;;Ҷадвали 36, Ҷадвали 38, Ҷадвали 39
2;остался таджикский текст;показатель;МОИ«Панҷ»;ОАО «Панҷ»;;Ҷадвали 37
2;остался таджикский текст;показатель;ноҳияи Шаҳринав;Шаҳринавский район;;Ҷадвали 3, Ҷадвали 11
2;остался таджикский текст;показатель;ҶДММ «Азизӣ-1»;ООО «Азизӣ-1»;;Ҷадвали 7
2;остался таджикский текст;показатель;ҶДММ «Петролеум – Суғд»;ООО «Петролеум – Суғд»;;Ҷадвали 7
2;остался таджикский текст;показатель;ҶСК «Суғднафтугаз»;ОАО «Суғднафтугаз»;;Ҷадвали 7
2;остался таджикский текст;показатель;ҶСП «Суғднафтугаз»;Предприятие «Суғднафтугаз»;;Ҷадвали 7
2;остался таджикский текст;показатель;ҶСП «Ҳасан ва К»;Предприятие «Ҳасан ва К»;;Ҷадвали 7
3;непереведённая аббревиатура;показатель;ҷСК НБО «Сангтӯда-2» млн. кВт/с.;ОАО НБО «Сангтуда-2» млн кВт·ч;;Ҷадвали 6
4;очень короткий перевод;показатель;Асал;Мед;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
4;очень короткий термин;показатель;Асп;Лошади;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
4;перевод = оригинал;показатель;Асфалт;Асфалт;;Ҷадвали 4
4;перевод = оригинал;показатель;бензин;Бензин;;Ҷадвали 37
4;перевод = оригинал;показатель;Бензин;Бензин;;Ҷадвали 4
4;очень короткий перевод;показатель;Биринҷ;Рис;;Ҷадвали 4
4;перевод = оригинал;показатель;Битум;Битум;;Ҷадвали 4
4;перевод = оригинал;показатель;ВМКБ;ВМКБ;;Ҷадвали 11
4;"очень короткий перевод; очень короткий термин; перевод = оригинал";единица;км;км;;Ҷадвали 4
4;перевод = оригинал;показатель;Криолит;Криолит;;Ҷадвали 4
4;перевод = оригинал;показатель;мазут;Мазут;;Ҷадвали 37
4;перевод = оригинал;показатель;Мазут;Мазут;;Ҷадвали 4
4;перевод = оригинал;показатель;Майонез;Майонез;;Ҷадвали 4
4;перевод = оригинал;показатель;Маргарин;Маргарин;;Ҷадвали 4
4;перевод = оригинал;единица;метр;метр;;Ҷадвали 4
4;перевод = оригинал;единица;млн. д.х.ш.;млн. д.х.ш.;;Ҷадвали 4
4;перевод = оригинал;единица;млн.км;млн.км;;Ҷадвали 4
4;очень короткий термин;показатель;Орд;Кукуруза;;Ҷадвали 4, Ҷадвали 19
4;очень короткий перевод;показатель;пиёз;лук;;Ҷадвали 19
4;очень короткий термин;показатель;Рег;Угольный кокс;;Ҷадвали 4
4;перевод = оригинал;единица;тонна;тонна;;Ҷадвали 4
4;очень короткий термин;показатель;у;Прогноз строительных работ (всего) на 2027-2029 годы (за счет средств государственного бюджета и внебюджетных источников);;Ҷадвали 14А
4;"очень короткий перевод; очень короткий термин; перевод = оригинал";показатель;х;х;;Ҷадвали 34
4;"очень короткий перевод; очень короткий термин";показатель;Чой;Чай;;Ҷадвали 19
4;очень короткий термин;показатель;Шир;Молоко;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
